"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:42:00::"	"n't"	"."	"does"	"∅"	"does_n't"	"n't_."	"._∅"	"it_does_n't"	"does_n't_."	"n't_._∅"	"._∅_∅"	"PRP"	"VBZ"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"n't"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"of"	"entirely"	"surface"	"entirely_a"	"a_of"	"of_surface"	"be_entirely_a"	"entirely_a_of"	"a_of_surface"	"of_surface_."	"VB"	"RB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cleaning"	"or"	"detergent"	"be"	"entirely"	"a"	"matter"	"of"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"dried"	"in"	"and"	"the"	"and_dried"	"dried_in"	"in_the"	"particle_and_dried"	"and_dried_in"	"dried_in_the"	"in_the_presence"	"NN"	"CC"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"washing"	"process"	"whereby"	"soil"	"are"	"remove"	"consist"	"basically"	"apply"	"mechanical"	"action"	"to"	"loosen"	"the"	"dirt"	"particle"	"and"	"dried"	"matter"	"in"	"the"	"presence"	"of"	"water"	"which"	"help"	"to"	"float"	"off"	"the"	"debris"	"and"	"act_as"	"to"	"some"	"extent"	"as"	"a"	"dissolving_agent"	"and"	"solvating_agent"	"agent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"upon"	"of"	"embark"	"subjective"	"embark_upon"	"upon_of"	"of_subjective"	"to_embark_upon"	"embark_upon_of"	"upon_of_subjective"	"of_subjective_judgment"	"TO"	"VB"	"VB"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"speak"	"of"	"this"	"underlying"	"view"	"the"	"world"	"be"	"to"	"embark"	"upon"	"matter"	"of"	"subjective"	"judgment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"would"	"in"	"certainly"	"in_the"	"the_would"	"would_certainly"	"feeling_in_the"	"in_the_would"	"the_would_certainly"	"would_certainly_betray"	"NN"	"IN"	"JJ"	"NN"	"MD"	"RB"	"VB"	"one_and_the_same"	"time"	"that"	"his"	"work"	"might"	"be"	"turn_down"	"which"	"would"	"be"	"a"	"blow"	"to"	"his"	"pride"	"even_though"	"no_one"	"know"	"he"	"be"	"the"	"author"	"and"	"that"	"the"	"work"	"would"	"be"	"accept"	"and"	"then"	"that"	"his"	"violent"	"feeling"	"in"	"the"	"would"	"certainly"	"betray"	"how"	"deeply"	"concern"	"he"	"be"	"in_spite_of"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"."	"to"	"∅"	"to_this"	"this_."	"._∅"	"look_to_this"	"to_this_."	"this_._∅"	"._∅_∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"studio"	"maintain"	"a"	"cadre"	"of"	"librarian"	"and"	"research"	"specialist"	"who"	"look"	"to"	"this"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"in"	"principal"	"in_the"	"the_of"	"of_principal"	"certainly_in_the"	"in_the_of"	"the_of_principal"	"of_principal_there"	"RB"	"IN"	"JJ"	"NN"	"IN"	"NN"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"certainly"	"the"	"matter"	"of"	"principal"	"there"	"be"	"nothing"	"lacking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"of"	"to"	"opinion"	"to_a"	"a_of"	"of_opinion"	"boil_down_to_a"	"to_a_of"	"a_of_opinion"	"of_opinion_,"	"VB"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"an"	"which"	"boil_down"	"to"	"a"	"matter"	"of"	"opinion"	"depending_on"	"whether"	"you"	"an"	"group"	"or"	"group"	"fan"	"and"	"anti"	"or"	"pro"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"n't"	"."	"did"	"∅"	"did_n't"	"n't_."	"._∅"	"really_did_n't"	"did_n't_."	"n't_._∅"	"._∅_∅"	"RB"	"VBD"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"fifth"	"person"	"slash"	"a"	"run"	"homer"	"off"	"person"	"but"	"by"	"that"	"time"	"the"	"be"	"and"	"it"	"really"	"did"	"n't"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"n't"	"."	"do"	"∅"	"do_n't"	"n't_."	"._∅"	"it_do_n't"	"do_n't_."	"n't_._∅"	"._∅_∅"	"PRP"	"VBP"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"n't"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"that"	"when"	"did"	"the"	"did_that"	"that_when"	"when_the"	"what_did_that"	"did_that_when"	"that_when_the"	"when_the_sun"	"WP"	"VBD"	"IN"	"VB"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"what"	"that"	"matter"	"when"	"the"	"sun"	"was"	"shine"	"and"	"there"	"be"	"dream"	"to"	"dream"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"on"	","	"∅"	"the"	"∅_on"	"on_,"	",_the"	"∅_∅_on"	"∅_on_,"	"on_,_the"	",_the_jury"	"ε"	"ε"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"matter"	"the"	"jury"	"recommend"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"of"	"be"	"the"	"be_a"	"a_of"	"of_the"	"but_be_a"	"be_a_of"	"a_of_the"	"of_the_development"	"CC"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"unscientific"	"friend"	"does"	"not"	"believe"	"that"	"human"	"stature"	"be"	"measurable"	"in_terms_of"	"momentum"	"weightlessness"	"or"	"distance"	"from"	"earth"	"but"	"be"	"a"	"matter"	"of"	"the"	"development"	"of"	"the"	"human"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"all"	"consist_of"	"that"	"minute"	"that_all"	"all_consist_of"	"consist_of_minute"	"theory_that_all"	"that_all_consist_of"	"all_consist_of_minute"	"consist_of_minute_wave"	"NN"	"IN"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"modern"	"physics"	"has"	"the"	"theory"	"that"	"all"	"matter"	"consist_of"	"minute"	"wave"	"of"	"energy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"all"	","	"in_common_with"	"have"	"in_common_with_all"	"all_,"	",_have"	",_in_common_with_all"	"in_common_with_all_,"	"all_,_have"	",_have_their"	"ε"	"IN"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"body"	"sense"	"and"	"in_common_with"	"all"	"matter"	"have"	"their"	"counterpart"	"on"	"each"	"of"	"a"	"countless"	"number"	"of"	"frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"a"	"of"	"be"	"inch"	"be_a"	"a_of"	"of_inch"	"to_be_a"	"be_a_of"	"a_of_inch"	"of_inch_rather_than"	"TO"	"VB"	"DT"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"cannot"	"make"	"sense"	"out"	"of"	"the"	"figure"	"for"	"growth"	"at_best"	"the"	"annual"	"increase"	"appear"	"to"	"be"	"a"	"matter"	"of"	"inch"	"rather_than"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"took"	"into"	"person"	"her"	"person_took"	"took_into"	"into_her"	",_person_took"	"person_took_into"	"took_into_her"	"into_her_own"	"ε"	"NNP"	"VB"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"it"	"person"	"took"	"matter"	"into"	"her"	"own"	"hands"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	";"	"such_as"	"christ"	"leavened"	"christ_;"	";_such_as"	"such_as_leavened"	"with_christ_;"	"christ_;_such_as"	";_such_as_leavened"	"such_as_leavened_or"	"IN"	"NN"	"ε"	"NN"	"JJ"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"always"	"the"	"with"	"christ"	"matter"	"such_as"	"leavened"	"or"	"unleavened_bread"	"be"	"inconsequential"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
