"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"4:02:03::"	"she"	"be"	"``"	"a"	"``_she"	"she_be"	"be_a"	"∅_``_she"	"``_she_be"	"she_be_a"	"be_a_dear"	"ε"	"ε"	"PRP"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"be"	"a"	"dear"	"little"	"thing"	"my"	"mother"	"agree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"'s"	"quite"	"it"	"fun"	"it_'s"	"'s_quite"	"quite_fun"	"∅_it_'s"	"it_'s_quite"	"'s_quite_fun"	"quite_fun_as_long_as"	"ε"	"PRP"	"VBZ"	"RB"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"quite"	"fun"	"as_long_as"	"you"	"like"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	","	","	"wonder"	"to"	"wonder_,"	",_,"	",_to"	"a_wonder_,"	"wonder_,_,"	",_,_to"	",_to_how"	"DT"	"NN"	"ε"	"RB"	"ε"	"TO"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"really"	"to"	"how"	"much"	"mendacious"	"trouble"	"person"	"put"	"himself"	"to"	"sell"	"the"	"person"	"that"	"preposterous"	"manse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"be"	"great"	"that"	"musical_theater"	"that_be"	"be_great"	"great_musical_theater"	"folk_dance_that_be"	"that_be_great"	"be_great_musical_theater"	"great_musical_theater_."	"NN"	"RB"	"VB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"multi"	"lingual"	"rally"	"when"	"he"	"is"	"run"	"for"	"group"	"be"	"well"	"and"	"wind_up"	"in"	"a"	"wild"	"jewish"	"folk_dance"	"that"	"be"	"really"	"great"	"musical_theater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"it"	"did"	"and"	"n't"	"and_it"	"it_did"	"did_n't"	"5_and_it"	"and_it_did"	"it_did_n't"	"did_n't_matter"	"CD"	"CC"	"PRP"	"RB"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"fifth"	"person"	"slash"	"a"	"run"	"homer"	"off"	"person"	"but"	"by"	"time"	"the"	"score"	"be"	"and"	"it"	"really"	"did"	"n't"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"that"	"would"	"``"	"be"	"``_that"	"that_would"	"would_be"	"∅_``_that"	"``_that_would"	"that_would_be"	"would_be_funny"	"ε"	"ε"	"DT"	"RB"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"really"	"would"	"be"	"funny"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"lift"	"possess"	"you"	"juju"	"you_lift"	"lift_possess"	"possess_juju"	"carving_you_lift"	"you_lift_possess"	"lift_possess_juju"	"possess_juju_to"	"NN"	"PRP"	"VB"	"RB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"the"	"pair"	"of"	"ivory"	"carving"	"you"	"lift"	"really"	"possess"	"juju"	"to"	"turn"	"your"	"liver"	"to"	"lead"	"as"	"a"	"dealer"	"in"	"khartoum"	"assure"	"me"	"i"	"be"	"not"	"competent"	"to"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"has"	"outlive"	"nationalism"	"its"	"nationalism_has"	"has_outlive"	"outlive_its"	",_nationalism_has"	"nationalism_has_outlive"	"has_outlive_its"	"outlive_its_usefulness"	"ε"	"NN"	"VBZ"	"RB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"has"	"really"	"outlive"	"its"	"usefulness"	"in"	"a"	"country"	"as"	"world"	"oriented"	"as"	"ours"	"and"	"its"	"continued"	"existence"	"reflect"	"one"	"of"	"the"	"major"	"culture"	"lag"	"of"	"the"	"twentieth"	"century"	"united_states"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"and"	"does"	"water_ski"	"n't"	"water_ski_and"	"and_does"	"does_n't"	"and_water_ski_and"	"water_ski_and_does"	"and_does_n't"	"does_n't_have"	"CC"	"VB"	"CC"	"RB"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"always"	"have"	"shapely"	"from"	"swim"	"and"	"water_ski"	"and"	"really"	"does"	"n't"	"have"	"to"	"work"	"them"	"very_much"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"∅"	"there"	"∅"	"be"	"∅_∅"	"∅_there"	"there_be"	"∅_∅_∅"	"∅_∅_there"	"∅_there_be"	"there_be_no"	"ε"	"ε"	"ε"	"RB"	"EX"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"reason"	"why"	"this"	"fine"	"exercise"	"should"	"not"	"find_its_way"	"into"	"your"	"leg"	"program"	"at"	"all"	"time"	"for"	"the"	"following"	"suggestion"	"show"	"why"	"it"	"be"	"so"	"effective"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"not"	"a"	"be"	"question"	"be_not"	"not_a"	"a_question"	"it_be_not"	"be_not_a"	"not_a_question"	"a_question_,"	"PRP"	"VB"	"RB"	"RB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"did"	"n't"	"it"	"be"	"not"	"really"	"a"	"question"	"and"	"so"	"he"	"leave"	"the"	"room"	"walk"	"down"	"the"	"hall"	"to"	"the"	"front"	"of"	"the"	"apartment"	"hesitate"	"and"	"then"	"knock"	"lightly"	"on"	"the"	"closed"	"door"	"of"	"the"	"study"	
"4:02:03::"	","	"''"	"that"	"."	"that_,"	",_''"	"''_."	"be_that_,"	"that_,_''"	",_''_."	"''_._∅"	"VB"	"RB"	"ε"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"n't"	"think"	"be"	"that"	"really"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"it"	"do"	"will"	"''"	"will_it"	"it_do"	"do_''"	"good_will_it"	"will_it_do"	"it_do_''"	"do_''_?"	"NN"	"NN"	"PRP"	"RB"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"good"	"it"	"really"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"you"	"believe"	"do"	"that"	"do_you"	"you_believe"	"believe_that"	"``_do_you"	"do_you_believe"	"you_believe_that"	"believe_that_,"	"ε"	"VBP"	"PRP"	"RB"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"really"	"believe"	"that"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"you"	"think"	"do"	"that"	"do_you"	"you_think"	"think_that"	"and_do_you"	"do_you_think"	"you_think_that"	"think_that_the"	"CC"	"VBP"	"PRP"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"you"	"really"	"think"	"that"	"the"	"world"	"outside"	"location"	"will"	"care"	"any"	"more"	"than"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
