"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:41:00::"	"mr._hammarskjold"	"the"	"of"	"united_nations"	"of_mr._hammarskjold"	"mr._hammarskjold_the"	"the_united_nations"	"death_of_mr._hammarskjold"	"of_mr._hammarskjold_the"	"mr._hammarskjold_the_united_nations"	"the_united_nations_'"	"NN"	"IN"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"mr._hammarskjold"	"remove"	"the"	"united_nations"	"most"	"controversial"	"leader"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"be"	"and"	"must"	"replace"	"must_be"	"be_and"	"and_replace"	"bars_must_be"	"must_be_and"	"be_and_replace"	"and_replace_many_times"	"NNS"	"MD"	"VB"	"VB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fit"	"the"	"locking"	"bars"	"and"	"make"	"the"	"locking"	"pieces"	"be"	"a"	"tedious"	"job"	"since"	"stop"	"screws"	"tappets"	"and"	"locking"	"bars"	"must"	"be"	"remove"	"and"	"replace"	"many_times"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"is"	"from"	"power"	"the"	"power_is"	"is_from"	"from_the"	"lawmaking_power_is"	"power_is_from"	"is_from_the"	"from_the_board"	"JJ"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lawmaking"	"is"	"remove"	"from"	"the"	"board"	"of"	"estimate"	"and"	"make"	"a"	"partnership"	"responsibility"	"of"	"the"	"city_council"	"and"	"the"	"mayor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"is"	"by"	","	"make"	",_is"	"is_by"	"by_make"	"progress_,_is"	",_is_by"	"is_by_make"	"by_make_these"	"NN"	"ε"	"VBZ"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"road"	"block"	"to"	"desirable"	"local"	"or"	"borough"	"improvements"	"heretofore"	"dependent_on"	"the"	"vote"	"of"	"taxpayers"	"and"	"hence"	"a"	"drag"	"on"	"progress"	"is"	"remove"	"by"	"make"	"these"	"a"	"charge"	"against"	"the"	"whole"	"city"	"instead"	"of"	"an"	"assessment"	"pay"	"by"	"those"	"immediately"	"affect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"illness"	"him"	"or"	"from"	"or_illness"	"illness_him"	"him_from"	"death_or_illness"	"or_illness_him"	"illness_him_from"	"him_from_the"	"NN"	"CC"	"NN"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"congress"	"will"	"see"	"premier_khrushchev"	"consolidate"	"his"	"power"	"and"	"the"	"groundwork"	"for"	"an"	"orderly"	"succession"	"should"	"death"	"or"	"illness"	"remove"	"him"	"from"	"the"	"scene"	"in"	"the"	"next"	"few"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"her"	"from"	"have"	"the"	"have_her"	"her_from"	"from_the"	"into_have_her"	"have_her_from"	"her_from_the"	"from_the_prison"	"IN"	"VB"	"PRP$"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"a"	"tribute"	"to"	"her"	"talents"	"that"	"be"	"able"	"to"	"talk_into"	"the"	"district_attorney"	"into"	"have"	"her"	"remove"	"from"	"the"	"prison"	"to"	"a"	"hotel_room"	"with"	"her"	"meals"	"take"	"at"	"vesuvio"	"an"	"excellent"	"italian"	"restaurant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"be"	"."	"will"	"∅"	"will_be"	"be_."	"._∅"	"price_will_be"	"will_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"peiping"	"chinese"	"be"	"the"	"only"	"major"	"silver"	"seller"	"in"	"the"	"world"	"markets"	"who"	"stop"	"sell"	"the"	"metal"	"on"	"monday"	"morning"	"november"	"anticipate"	"by"	"two"	"days"	"the"	"announcement"	"of"	"the"	"u._s._treasury"	"the"	"pegged"	"offering"	"price"	"will"	"be"	"remove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"suspicion"	"."	"of"	"∅"	"of_suspicion"	"suspicion_."	"._∅"	"doubt_of_suspicion"	"of_suspicion_."	"suspicion_._∅"	"._∅_∅"	"NN"	"IN"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"very"	"pleased"	"to"	"the"	"doubt"	"of"	"suspicion"	"remove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"."	"heat"	"∅"	"heat_to"	"to_."	"._∅"	"less_heat_to"	"heat_to_."	"to_._∅"	"._∅_∅"	"JJR"	"NN"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"a"	"house"	"which"	"heat"	"does"	"n't"	"easily"	"your"	"unit"	"will"	"have"	"less"	"heat"	"to"	"remove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"a"	"much"	"btu"	"much_to"	"to_a"	"a_btu"	"as_much_to"	"much_to_a"	"to_a_btu"	"a_btu_in"	"IN"	"JJ"	"TO"	"VB"	"DT"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"cost"	"two"	"three_times"	"as"	"much"	"to"	"remove"	"a"	"btu"	"in"	"summer"	"as"	"it"	"does"	"to"	"add"	"one"	"in"	"winter"	"so"	"every"	"solitary"	"btu"	"be"	"worth"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"the"	"her"	"shoes"	"her_to"	"to_the"	"the_shoes"	"overcome_her_to"	"her_to_the"	"to_the_shoes"	"the_shoes_and"	"VB"	"PRP"	"TO"	"VB"	"DT"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"viola"	"sit"	"there"	"a"	"impulse"	"overcome"	"her"	"to"	"remove"	"the"	"shoes"	"and"	"socks"	"from"	"the"	"unidentified"	"feet"	"and"	"as"	"a"	"prank"	"insert"	"rosebuds"	"between"	"the"	"toes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"he"	"his"	"∅"	"hat"	"∅_he"	"he_his"	"his_hat"	"∅_∅_he"	"∅_he_his"	"he_his_hat"	"his_hat_to"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remove"	"his"	"hat"	"to"	"let"	"the"	"trapped"	"sweat"	"cut"	"rivulet"	"through"	"the"	"dust"	"film"	"upon"	"his"	"gaunt"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"this"	"effort"	"divisive"	"effort_to"	"to_this"	"this_divisive"	"an_effort_to"	"effort_to_this"	"to_this_divisive"	"this_divisive_and"	"DT"	"NN"	"TO"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"time"	"has"	"come"	"for"	"citizen"	"of"	"faith"	"to"	"unite"	"in"	"an"	"effort"	"to"	"remove"	"this"	"divisive"	"and"	"nettlesome"	"issue"	"from"	"the"	"political"	"and"	"social"	"life"	"of"	"our"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"mysteriously"	"from"	"been"	"their"	"been_mysteriously"	"mysteriously_from"	"from_their"	"had_been_mysteriously"	"been_mysteriously_from"	"mysteriously_from_their"	"from_their_customary"	"VBD"	"VBN"	"RB"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"breathless"	"and"	"wild-eyed"	"bring"	"the"	"chilling"	"news"	"that"	"handspike"	"heaver"	"and"	"holystone"	"had"	"been"	"mysteriously"	"remove"	"from"	"their"	"customary"	"place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"him"	","	"far"	",_and"	"and_him"	"him_far"	"paradise_,_and"	",_and_him"	"and_him_far"	"him_far_from"	"NN"	"ε"	"CC"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wherefore"	"also"	"he"	"god"	"drive_out"	"him"	"man"	"out"	"paradise"	"and"	"remove"	"him"	"far"	"from"	"the"	"tree"	"of"	"life"	"not"	"because"	"he"	"envy"	"him"	"the"	"tree"	"of"	"life"	"as"	"some"	"venture"	"to"	"assert"	"but"	"because"	"he"	"pity"	"him"	"and"	"did"	"not"	"desire"	"that"	"he"	"should"	"continue"	"a"	"sinner"	"for"	"ever"	"nor"	"that"	"the"	"sin"	"which"	"surround"	"him"	"should"	"be"	"immortal"	"and"	"evil"	"interminable"	"and"	"irremediable"	
