"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:10:00::"	"second"	","	"the"	"``"	"the_second"	"second_,"	",_``"	"∅_the_second"	"the_second_,"	"second_,_``"	",_``_the_price_of_silence"	"ε"	"DT"	"JJ"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"feature"	"the_price_of_silence"	"be"	"a"	"british"	"detective_story"	"that"	"will"	"talk_your_head_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"anatomical"	"of"	"subgross"	"the"	"subgross_anatomical"	"anatomical_of"	"of_the"	"main_subgross_anatomical"	"subgross_anatomical_of"	"anatomical_of_the"	"of_the_lung"	"JJ"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"subgross"	"anatomical"	"feature"	"of"	"the"	"lung"	"of"	"various"	"mammal"	"are"	"present"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"widespread"	"of"	"most"	"contemporary"	"most_widespread"	"widespread_of"	"of_contemporary"	"the_most_widespread"	"most_widespread_of"	"widespread_of_contemporary"	"of_contemporary_thought"	"RB"	"RB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"most"	"widespread"	"feature"	"of"	"contemporary"	"thought"	"be"	"the"	"almost"	"universal"	"disbelief"	"in"	"the"	"reality"	"of"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"certain"	"of"	"be"	"the"	"be_certain"	"certain_of"	"of_the"	"there_be_certain"	"be_certain_of"	"certain_of_the"	"of_the_fear"	"EX"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"certainly"	"not"	"adequately"	"train"	"to"	"describe"	"enlarge"	"on"	"human"	"fear"	"but"	"there"	"be"	"certain"	"feature"	"of"	"the"	"fear"	"dispel"	"by"	"scientific"	"explanation"	"that"	"stand_out"	"quite"	"clearly"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	","	"seventh"	"st._patrick's_day_purse"	"race"	"st._patrick's_day_purse_,"	",_seventh"	"seventh_race"	"4500_st._patrick's_day_purse_,"	"st._patrick's_day_purse_,_seventh"	",_seventh_race"	"seventh_race_here"	"CD"	"NNP"	"ε"	"VB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gain"	"her"	"second"	"straight"	"victory"	"person"	"garden_fresh"	"a"	"year"	"old"	"filly"	"down"	"colt"	"in"	"the"	"st._patrick's_day_purse"	"feature"	"seventh"	"race"	"here"	"today"	"and"	"pay"	"straight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"rugged"	"."	"and"	"∅"	"and_rugged"	"rugged_."	"._∅"	"lock_and_rugged"	"and_rugged_."	"rugged_._∅"	"._∅_∅"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"firelight"	"play"	"over"	"person"	"white"	"lock"	"and"	"rugged"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"recreation"	"?"	"existing"	"∅"	"existing_recreation"	"recreation_?"	"?_∅"	"the_existing_recreation"	"existing_recreation_?"	"recreation_?_∅"	"?_∅_∅"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"existing"	"recreation"	"feature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"desirable"	"for"	"most"	"a"	"most_desirable"	"desirable_for"	"for_a"	"the_most_desirable"	"most_desirable_for"	"desirable_for_a"	"for_a_park"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"most"	"desirable"	"feature"	"for"	"a"	"park"	"be"	"beautiful"	"view"	"or"	"scenery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"natural"	"which"	"other"	"can"	"other_natural"	"natural_which"	"which_can"	"∅_other_natural"	"other_natural_which"	"natural_which_can"	"which_can_be"	"ε"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"natural"	"feature"	"which"	"can"	"be"	"of"	"high"	"interest"	"be"	"the"	"forest"	"canyon"	"mountain"	"desert"	"seacoast"	"beach"	"sand_dune"	"waterfall"	"spring"	"etcetera"	"with"	"which"	"the"	"area"	"is"	"bless"	
"1:09:00::"	"larger"	"of"	"the"	"the"	"the_larger"	"larger_of"	"of_the"	"of_the_larger"	"the_larger_of"	"larger_of_the"	"of_the_lunar"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"observation"	"at"	"mm"	"person"	"a"	"the"	"diameter"	"of"	"the"	"antenna"	"beam"	"be"	"small"	"enough"	"to"	"allow"	"resolution"	"of"	"of"	"the"	"larger"	"feature"	"of"	"the"	"lunar"	"surface"	"and"	"contour"	"diagram"	"have"	"been"	"make"	"of"	"the"	"lunar"	"brightness"	"distribution"	"at"	"three"	"lunar"	"phase"	"0"	"0"	"0"	
