"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:19:00::"	"sharp"	"characteristic"	"contain"	"of"	"contain_sharp"	"sharp_characteristic"	"characteristic_of"	"may_contain_sharp"	"contain_sharp_characteristic"	"sharp_characteristic_of"	"characteristic_of_atom"	"MD"	"VB"	"JJ"	"NN"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"the"	"well-known"	"hydrogen"	"line"	"at"	"cm"	"wavelength"	"spectrum"	"of"	"extraterrestrial"	"radio_source"	"may"	"contain"	"sharp"	"line"	"characteristic"	"of"	"atom"	"ion"	"and"	"small"	"molecule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"the"	"frequency"	"of"	"be"	"of_the"	"the_frequency"	"frequency_be"	"foreknowledge_of_the"	"of_the_frequency"	"the_frequency_be"	"frequency_be_an"	"NN"	"IN"	"DT"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"high"	"sensitivity"	"in"	"radio_telescope"	"is"	"achieve"	"by"	"reduce"	"bandwidth"	"of"	"the"	"receiver"	"therefore"	"only"	"precise"	"foreknowledge"	"of"	"the"	"line"	"frequency"	"be"	"an"	"astronomical"	"search"	"for"	"the"	"radio_spectrum"	"of"	"these"	"molecule"	"feasible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"39000"	"of"	"for"	"70"	"for_39000"	"39000_of"	"of_70"	"intensity_for_39000"	"for_39000_of"	"39000_of_70"	"of_70_element"	"NN"	"IN"	"CD"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"set"	"of"	"table"	"spectral"	"intensity"	"for"	"line"	"of"	"element"	"as"	"observe"	"in"	"a"	"copper"	"matrix"	"in"	"a"	"dc"	"arc"	"was"	"complete"	"and"	"publish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"short"	"i"	"very"	"scan"	"very_short"	"short_i"	"i_scan"	"a_very_short"	"very_short_i"	"short_i_scan"	"i_scan_a"	"DT"	"RB"	"JJ"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"to"	"realize"	"that"	"this"	"the"	"end"	"of"	"a"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"of"	"a"	"slightly"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"longer"	"would"	"slightly"	"be"	"slightly_longer"	"longer_would"	"would_be"	"a_slightly_longer"	"slightly_longer_would"	"longer_would_be"	"would_be_for"	"DT"	"RB"	"JJ"	"NN"	"MD"	"VB"	"IN"	"0"	"0"	"force"	"to"	"realize"	"that"	"this"	"be"	"the"	"end"	"of"	"a"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"a"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:02::"	"the"	"of"	"by"	"communication"	"by_the"	"the_of"	"of_communication"	"enforce_by_the"	"by_the_of"	"the_of_communication"	"of_communication_."	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"troops"	"disperse"	"on"	"field_of_battle"	"rather"	"than"	"on"	"the"	"parade_ground"	"it"	"may"	"seem"	"that"	"a"	"certain"	"amount"	"of"	"monitor"	"is"	"enforce"	"by"	"the"	"line"	"of"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:00::"	"real"	"which"	"the"	"satisfy"	"the_real"	"real_which"	"which_satisfy"	"on_the_real"	"the_real_which"	"real_which_satisfy"	"which_satisfy_the"	"IN"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"n"	"be"	"a"	"integer"	"and"	"let"	"v"	"the"	"space"	"of"	"all"	"n"	"times"	"differentiable"	"function"	"f"	"on"	"the"	"real"	"line"	"which"	"satisfy"	"the"	"differential_equation"	"f"	"where"	"f"	"be"	"some"	"fixed"	"constant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"main"	"of"	"the"	"our"	"the_main"	"main_of"	"of_our"	"to_the_main"	"the_main_of"	"main_of_our"	"of_our_inquiry"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"to"	"to"	"the"	"main"	"line"	"of"	"our"	"inquiry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"broad"	"."	"on"	"∅"	"on_broad"	"broad_."	"._∅"	"style_on_broad"	"on_broad_."	"broad_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"the"	"aesthetic"	"and"	"technical"	"aspect"	"of"	"this"	"expansion"	"must"	"consider"	"the"	"change"	"in"	"pottery"	"style"	"on"	"broad"	"line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"in"	"through"	"keep"	"fear"	"keep_in"	"in_through"	"through_fear"	"were_keep_in"	"keep_in_through"	"in_through_fear"	"through_fear_of"	"VBD"	"VB"	"VB"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"word"	"reach"	"the"	"company"	"that"	"the"	"man"	"behind"	"these"	"depredation"	"be"	"person"	"a"	"man"	"with"	"many"	"follower"	"include"	"a"	"number"	"who"	"keep"	"in"	"line"	"through"	"fear"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:02::"	"the"	"of"	"in"	"operatic"	"in_the"	"the_of"	"of_operatic"	"∅_in_the"	"in_the_of"	"the_of_operatic"	"of_operatic_trade"	"ε"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"line"	"of"	"operatic"	"trade"	"to"	"cushion"	"the"	"budget"	"the"	"group"	"will"	"use"	"san_francisco"	"new"	"group"	"production"	"of"	"lucia_di_lammermoor"	"this"	"season"	"return"	"the"	"favor"	"next"	"season"	"when"	"san_francisco"	"use"	"the"	"dallas"	"don_giovanni"	"design"	"by"	"person"	
"1:10:01::"	"extra"	"and"	"no"	"be"	"no_extra"	"extra_and"	"and_be"	"of_no_extra"	"no_extra_and"	"extra_and_be"	"and_be_in"	"IN"	"DT"	"JJ"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"x-ray_diffraction"	"pattern"	"of"	"the"	"material"	"take"	"with"	"radiation"	"indicate"	"the"	"presence"	"of"	"no"	"extra"	"line"	"and"	"be"	"in"	"good"	"agreement"	"with"	"the"	"pattern"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"broad"	"spectrometer"	"**f"	"and"	"**f_broad"	"broad_spectrometer"	"spectrometer_and"	"model_**f_broad"	"**f_broad_spectrometer"	"broad_spectrometer_and"	"spectrometer_and_the"	"NN"	"NN"	"JJ"	"NN"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"magnetic_resonance"	"absorption"	"was"	"detect"	"employ"	"a"	"varian"	"model"	"broad"	"line"	"spectrometer"	"and"	"the"	"associated"	"inch"	"electromagnet"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"resonance"	","	"the"	"define"	"the_resonance"	"resonance_,"	",_define"	"of_the_resonance"	"the_resonance_,"	"resonance_,_define"	",_define_as"	"IN"	"DT"	"NN"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"field"	"shift"	"were"	"derive"	"from"	"mean"	"value"	"of"	"the"	"resonance"	"line"	"define"	"as"	"the"	"field"	"about"	"which"	"the"	"first_moment"	"be"	"zero"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"rightfield"	"and"	"the"	"person"	"the_rightfield"	"rightfield_and"	"and_person"	"down_the_rightfield"	"the_rightfield_and"	"rightfield_and_person"	"and_person_single"	"RB"	"DT"	"NN"	"NN"	"CC"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"add"	"two"	"more"	"in"	"the"	"fifth"	"when"	"person"	"drop"	"double"	"into"	"the"	"leftfield"	"corner"	"double"	"down"	"the"	"rightfield"	"line"	"and"	"person"	"single"	"off"	"person"	"glove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:07::"	"one"	"open"	"leave"	"."	"leave_one"	"one_open"	"open_."	"but_leave_one"	"leave_one_open"	"one_open_."	"open_._∅"	"CC"	"VB"	"JJ"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"be"	"a"	"sweetheart"	"leave"	"one"	"line"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"interior"	"and"	"our"	"our"	"our_interior"	"interior_and"	"and_our"	"``_our_interior"	"our_interior_and"	"interior_and_our"	"and_our_linebacker"	"ε"	"PRP$"	"JJ"	"NN"	"CC"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"line"	"and"	"our"	"linebacker"	"play"	"exceptionally"	"well"	"say"	"person"	"after"	"he"	"and"	"his"	"staff"	"review"	"movie"	"of"	"the"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"group"	"and"	"the"	"extend"	"the_group"	"group_and"	"and_extend"	"on_the_group"	"the_group_and"	"group_and_extend"	"and_extend_over"	"IN"	"DT"	"NNP"	"NN"	"CC"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"person"	"of"	"location"	"and"	"person"	"become"	"proprietor"	"of"	"the"	"group"	"connect"	"office"	"on"	"the"	"group"	"line"	"and"	"extend"	"over"	"the"	"mountain"	"from"	"location"	"to"	"location"	"location"	"location"	"location"	"location"	"location"	"location"	"location"	"location"	"and"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"with"	"of"	"fill"	"car"	"fill_with"	"with_of"	"of_car"	"was_fill_with"	"fill_with_of"	"with_of_car"	"of_car_poised"	"VBD"	"VB"	"IN"	"NN"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"late"	"afternoon"	"the"	"train"	"inch"	"into"	"the"	"marshaling"	"yard"	"in"	"railhead"	"at"	"location"	"which"	"was"	"fill"	"with"	"line"	"of"	"car"	"poised"	"to"	"pour"	"the"	"tool"	"of"	"war"	"to"	"the"	"russian"	"front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
