"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"1:18:00::"	","	"''"	"each"	"?"	"each_,"	",_''"	"''_?"	"know_each_,"	"each_,_''"	",_''_?"	"''_?_∅"	"VB"	"DT"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"say"	"do"	"we"	"each"	"miss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	","	"muster"	"morose"	"without"	"morose_,"	",_muster"	"muster_without"	"and_morose_,"	"morose_,_muster"	",_muster_without"	"muster_without_excuse"	"CC"	"JJ"	"ε"	"VB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"potential"	"follower"	"be"	"sullen"	"and"	"morose"	"miss"	"muster"	"without"	"excuse"	"express"	"in"	"ominous"	"tone"	"their"	"displeasure"	"at"	"the"	"prisoner"	"being"	"keep"	"in"	"irons"	"communicate"	"with"	"the"	"three"	"by"	"glance"	"and"	"signal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"'re"	"the"	"you"	"point"	"you_'re"	"'re_the"	"the_point"	"``_you_'re"	"you_'re_the"	"'re_the_point"	"the_point_''"	"ε"	"PRP"	"VBP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"the"	"point"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"n't"	"the"	"do"	"pansy"	"do_n't"	"n't_the"	"the_pansy"	"∅_do_n't"	"do_n't_the"	"n't_the_pansy"	"the_pansy_that"	"ε"	"VBP"	"RB"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"miss"	"the"	"pansy"	"that"	"appear"	"from_time_to_time"	"through"	"the"	"winter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"chicago"	"see"	"absurdity"	"the"	"absurdity_chicago"	"chicago_see"	"see_the"	"booking_absurdity_chicago"	"absurdity_chicago_see"	"chicago_see_the"	"see_the_group"	"NN"	"NN"	"NN"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"how"	"by"	"a"	"of"	"booking"	"absurdity"	"chicago"	"miss"	"see"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"not_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"RB"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_told"	"where's_charley"	"ought"	"not"	"be"	"miss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"have"	"him"	"would"	","	"would_have"	"have_him"	"him_,"	"they_would_have"	"would_have_him"	"have_him_,"	"him_,_as"	"PRP"	"MD"	"VB"	"VB"	"PRP"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"he"	"be"	"there"	"they"	"would"	"have"	"miss"	"him"	"as"	"they"	"would"	"have"	"miss"	"the"	"sound"	"of"	"bee"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	
"2:37:00::"	"have"	"the"	"would"	"sound"	"would_have"	"have_the"	"the_sound"	"they_would_have"	"would_have_the"	"have_the_sound"	"the_sound_of"	"PRP"	"MD"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"if"	"he"	"be"	"not"	"there"	"they"	"would"	"miss"	"him"	"as"	"they"	"would"	"have"	"miss"	"the"	"sound"	"of"	"bee"	"buzz"	"against"	"the"	"screen_door"	"in"	"early"	"june"	"or"	"the"	"smell"	"of"	"thick"	"tomato_paste"	"the"	"ripe"	"smell"	"that"	"be"	"both"	"sweet"	"and"	"sour"	"rise_up"	"from"	"aluminum"	"tray"	"wrapped"	"in"	"fly"	"dotted"	"cheesecloth"	"0"	"0"	"0"	"0"	
"2:37:00::"	"'ll"	"school"	"you"	"''"	"you_'ll"	"'ll_school"	"school_''"	"think_you_'ll"	"you_'ll_school"	"'ll_school_''"	"school_''_?"	"VB"	"PRP"	"MD"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"say"	"do"	"you"	"you"	"miss"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"n't"	"us"	"have"	"much"	"have_n't"	"n't_us"	"us_much"	"girl_have_n't"	"have_n't_us"	"n't_us_much"	"us_much_''"	"NN"	"VB"	"RB"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"imagine"	"the"	"girl"	"have"	"n't"	"miss"	"us"	"much"	"location"	"add"	"his"	"eye"	"on"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
