"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"th"	"day"	"of"	"july"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"d"	"day"	"of"	"october"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"hand"	"seal"	"hand_and"	"and_the"	"the_seal"	"my_hand_and"	"hand_and_the"	"and_the_seal"	"the_seal_of"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"testimony"	"whereof"	"i"	"have"	"set"	"my"	"hand"	"and"	"cause"	"the"	"seal"	"of"	"the"	"state"	"to"	"be"	"affix"	"this"	"st"	"day"	"of"	"november"	"in"	"the"	"year"	"of"	"our"	"lord"	"one_thousand"	"nine"	"hundred"	"and"	"sixty-one"	"and"	"of"	"independence"	"the"	"one_hundred"	"and"	"eighty-sixth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"may"	"a"	")"	"great_deal"	")_may"	"may_a"	"a_great_deal"	"back_)_may"	")_may_a"	"may_a_great_deal"	"a_great_deal_of"	"RB"	"ε"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"extensive"	"observations"	"by"	"physicians"	"during"	"vaginal"	"examinations"	"have"	"establish"	"the"	"fact"	"that"	"a"	"single"	"finger"	"insert"	"along"	"anterior"	"wall"	"the"	"top"	"line"	"of"	"the"	"vagina"	"as"	"the"	"woman"	"lie"	"on"	"her"	"back"	"may"	"cause"	"a"	"great_deal"	"of"	"distress"	"in"	"a"	"virgin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"her"	"relations"	","	"relations_and"	"and_her"	"her_,"	"marital_relations_and"	"relations_and_her"	"and_her_,"	"her_,_unconsciously"	"JJ"	"NNS"	"CC"	"VB"	"PRP$"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pain"	"and"	"distress"	"associate"	"with"	"the"	"performance"	"may"	"give"	"the"	"wife"	"a"	"deep-seated"	"dread"	"of"	"marital"	"relations"	"and"	"cause"	"her"	"unconsciously"	"to"	"make"	"the"	"sex_act"	"unpleasant"	"and"	"difficult"	"for"	"both"	"by"	"exercise"	"her"	"vaginal"	"muscles"	"to"	"complicate"	"his"	"penetration"	"instead"	"of"	"relax"	"them"	"to"	"facilitate"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"stopping"	"occasional"	"and"	"raggedness"	"and_stopping"	"stopping_occasional"	"occasional_raggedness"	"starting_and_stopping"	"and_stopping_occasional"	"stopping_occasional_raggedness"	"occasional_raggedness_,"	"NN"	"CC"	"NN"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"conductor"	"preoccupation"	"with"	"the"	"of"	"starting"	"and"	"stopping"	"cause"	"occasional"	"raggedness"	"as"	"with"	"the"	"first"	"orchestra"	"entrance"	"in"	"the"	"fourth_piano_concerto"	"but"	"when"	"he"	"put"	"his"	"deliberations"	"and"	"obsequies"	"aside"	"and"	"let"	"the"	"music"	"move"	"as"	"design"	"it"	"did"	"so"	"with"	"plenty"	"of"	"spring"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"theaters"	"a"	"segregated"	"drop"	"segregated_theaters"	"theaters_a"	"a_drop"	"before_segregated_theaters"	"segregated_theaters_a"	"theaters_a_drop"	"a_drop_in"	"IN"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"prepared"	"statement"	"release"	"by"	"the"	"student"	"group"	"friday"	"state"	"that"	"extensive"	"research"	"by"	"coahr"	"into"	"techniques"	"methods"	"of"	"theater"	"integration"	"in"	"cities"	"indicate"	"that"	"the"	"presence"	"of"	"picket_lines"	"and"	"stand-ins"	"before"	"segregated"	"theaters"	"cause"	"a"	"drop"	"in"	"profits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"has"	"legislators"	"dedication"	"to"	"dedication_has"	"has_legislators"	"legislators_to"	"the_dedication_has"	"dedication_has_legislators"	"has_legislators_to"	"legislators_to_suspect"	"DT"	"NN"	"VBZ"	"VB"	"NNS"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"tardiness"	"of"	"the"	"in"	"make"	"the"	"dedication"	"has"	"cause"	"legislators"	"to"	"suspect"	"the"	"tax_bill"	"was"	"relate"	"more"	"directly"	"to"	"an"	"over-all"	"shortage"	"of"	"cash"	"than"	"to"	"segregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"escapades"	"distrust"	"her"	"''"	"her_escapades"	"escapades_distrust"	"distrust_''"	"that_her_escapades"	"her_escapades_distrust"	"escapades_distrust_''"	"distrust_''_."	"IN"	"PRP$"	"NNS"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"extensive"	"become"	"her"	"circle"	"of"	"admirers"	"egyptian"	"say"	"that"	"her"	"escapades"	"cause"	"distrust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"weapon"	"so_much"	"a"	"apprehension"	"a_weapon"	"weapon_so_much"	"so_much_apprehension"	"of_a_weapon"	"a_weapon_so_much"	"weapon_so_much_apprehension"	"so_much_apprehension_and"	"IN"	"DT"	"NN"	"VB"	"RB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"before"	"has"	"introduction"	"of"	"a"	"weapon"	"cause"	"so_much"	"apprehension"	"and"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"pole"	"a"	"utility"	"brief"	"utility_pole"	"pole_a"	"a_brief"	"the_utility_pole"	"utility_pole_a"	"pole_a_brief"	"a_brief_power_failure"	"DT"	"NN"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impact"	"the"	"utility"	"pole"	"cause"	"a"	"brief"	"power_failure"	"in"	"the"	"immediate"	"area"	"of"	"the"	"accident"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"had"	"serious"	"spraying"	"damage"	"spraying_had"	"had_serious"	"serious_damage"	"in_spraying_had"	"spraying_had_serious"	"had_serious_damage"	"serious_damage_in"	"IN"	"NN"	"VBD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"conservation"	"leader"	"mistakes"	"in"	"spraying"	"had"	"cause"	"serious"	"damage"	"in"	"ohio"	"and"	"wyoming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"grave"	"to"	"have"	"hate"	"have_grave"	"grave_to"	"to_hate"	"person_have_grave"	"have_grave_to"	"grave_to_hate"	"to_hate_and"	"NNP"	"VB"	"JJ"	"NN"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"person"	"person"	"have"	"grave"	"cause"	"to"	"hate"	"and"	"distrust"	"the"	"irishman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"∅"	"on-site"	"∅"	"inspection"	"∅_∅"	"∅_on-site"	"on-site_inspection"	"∅_∅_∅"	"∅_∅_on-site"	"∅_on-site_inspection"	"on-site_inspection_to"	"ε"	"ε"	"ε"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on-site"	"inspection"	"to"	"be"	"make"	"of"	"promising"	"project"	"domestic"	"and"	"foreign"	"and"	"in"	"the"	"case"	"of"	"project"	"located"	"in"	"the"	"united_states"	"cooperate"	"and"	"participate"	"in"	"their"	"development"	"in"	"instance"	"in"	"which"	"the"	"purpose"	"of_this"	"act"	"will"	"be"	"serve"	"thereby"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"or"	"to"	"make"	"be"	"make_or"	"or_to"	"to_be"	"to_make_or"	"make_or_to"	"or_to_be"	"to_be_make"	"TO"	"VB"	"CC"	"VB"	"VBN"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"make"	"or"	"cause"	"to"	"be"	"make"	"a"	"study"	"cover"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
