"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"
"1:18:00::"	"towards"	","	"arrogance"	"a"	"arrogance_towards"	"towards_,"	",_a"	"self-conceited_arrogance_towards"	"arrogance_towards_,"	"towards_,_a"	",_a_law"	"JJ"	"NN"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so_that"	"the"	"man"	"should"	"not"	"have"	"thought"	"of"	"grandeur"	"and"	"become"	"lift_up"	"as"	"if"	"he"	"have"	"no"	"lord"	"because"	"of"	"the"	"dominion"	"that"	"had"	"been"	"give"	"to"	"him"	"and"	"the"	"freedom"	"fall"	"into"	"sin"	"against"	"god"	"his"	"creator"	"overstep"	"his"	"bounds"	"and"	"take_up"	"attitude"	"of"	"self-conceited"	"arrogance"	"towards"	"god"	"a"	"law"	"was"	"give"	"him"	"by"	"god"	"that"	"he"	"might"	"know"	"that"	"he"	"have"	"for"	"lord"	"the"	"lord"	"of"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"by"	","	"him"	"that"	"him_by"	"by_,"	",_that"	"give_him_by"	"him_by_,"	"by_,_that"	",_that_he"	"VB"	"PRP"	"IN"	"NN"	"ε"	"IN"	"PRP"	"man"	"should"	"not"	"have"	"thought"	"of"	"grandeur"	"and"	"become"	"lift_up"	"as"	"if"	"he"	"have"	"no"	"lord"	"because"	"of"	"the"	"dominion"	"that"	"had"	"been"	"give"	"to"	"him"	"and"	"the"	"freedom"	"fall"	"into"	"sin"	"against"	"god"	"his"	"creator"	"overstep"	"his"	"bounds"	"and"	"take_up"	"an"	"attitude"	"of"	"self-conceited"	"arrogance"	"towards"	"god"	"a"	"law"	"was"	"give"	"him"	"by"	"god"	"he"	"might"	"know"	"that"	"he"	"have"	"for"	"lord"	"the"	"lord"	"of"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"to"	","	"belong"	"and"	"belong_to"	"to_,"	",_and"	"history_belong_to"	"belong_to_,"	"to_,_and"	",_and_he"	"NN"	"VB"	"VB"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"even"	"at"	"the"	"nadir"	"of"	"the"	"the"	"spiral"	"of"	"history"	"belong"	"to"	"god"	"and"	"he"	"still"	"rule"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"["	"]"	"he"	"drive_out"	"he_["	"[_]"	"]_drive_out"	"also_he_["	"he_[_]"	"[_]_drive_out"	"]_drive_out_him"	"RB"	"PRP"	"ε"	"NN"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wherefore"	"also"	"god"	"drive_out"	"him"	"man"	"out"	"of"	"paradise"	"and"	"remove"	"him"	"far"	"from"	"the"	"tree"	"of"	"life"	"not"	"because"	"he"	"envy"	"him"	"the"	"tree"	"of"	"life"	"as"	"some"	"venture"	"to"	"assert"	"but"	"because"	"he"	"pity"	"him"	"and"	"did"	"not"	"desire"	"that"	"he"	"should"	"continue"	"a"	"sinner"	"for"	"ever"	"nor"	"that"	"the"	"sin"	"which"	"surround"	"him"	"should"	"be"	"immortal"	"and"	"evil"	"interminable"	"and"	"irremediable"	
"1:18:00::"	"that"	"be"	")"	"completely"	")_that"	"that_be"	"be_completely"	"bible_)_that"	")_that_be"	"that_be_completely"	"be_completely_independent"	"NN"	"ε"	"IN"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"an"	"ancient"	"and"	"venerable"	"tradition"	"in"	"the"	"church"	"which"	"derive"	"however"	"from"	"heritage"	"of"	"the"	"greek"	"rather"	"than"	"from"	"the"	"bible"	"that"	"god"	"be"	"completely"	"independent"	"of"	"his"	"creation"	"and"	"so"	"have"	"no"	"need"	"of"	"man"	"for"	"accomplish"	"his"	"work"	"in"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"of"	"and"	"mother"	"our"	"mother_of"	"of_and"	"and_our"	",_mother_of"	"mother_of_and"	"of_and_our"	"and_our_most"	"ε"	"NN"	"IN"	"NN"	"CC"	"PRP$"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"o"	"blessed"	"virgin_mary"	"of"	"god"	"and"	"our"	"most"	"gentle"	"queen"	"and"	"mother"	"look"	"down"	"in"	"mercy"	"upon"	"england"	"thy"	"dowry"	"and"	"upon"	"us"	"all"	"who"	"greatly"	"hope"	"and"	"trust"	"in"	"thee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"wood"	"rather_than"	"and"	"the"	"and_wood"	"wood_rather_than"	"rather_than_the"	"troll_and_wood"	"and_wood_rather_than"	"wood_rather_than_the"	"rather_than_the_hudson_river"	"NN"	"CC"	"NN"	"NN"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"road"	"lead"	"south"	"along"	"the"	"river"	"be"	"shaded"	"with"	"old"	"tree"	"and"	"the"	"moonlight"	"the"	"silvery"	"landscape"	"be"	"like"	"a"	"setting"	"for"	"troll"	"and"	"wood"	"god"	"rather_than"	"the"	"hudson_river"	"valley"	"of"	"his"	"boyhood"	"memory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"``"	"be"	":"	"tired_of"	":_``"	"``_be"	"be_tired_of"	"say_:_``"	":_``_be"	"``_be_tired_of"	"be_tired_of_take"	"VB"	"ε"	"ε"	"NN"	"VB"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"think_of"	"person"	"stand"	"his"	"rich"	"house"	"say"	"god"	"be"	"tired_of"	"take"	"the"	"blame"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"for"	"'s"	"``"	"sake"	"``_for"	"for_'s"	"'s_sake"	",_``_for"	"``_for_'s"	"for_'s_sake"	"'s_sake_,"	"ε"	"ε"	"IN"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"fix"	"us"	"each"	"another"	"and"	"say"	"for"	"god"	"sake"	"tell"	"me"	"something"	"truly"	"amusing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"and"	"help"	"``"	"anyone"	"``_and"	"and_help"	"help_anyone"	"∅_``_and"	"``_and_help"	"and_help_anyone"	"help_anyone_who"	"ε"	"ε"	"CC"	"NN"	"VB"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"god"	"help"	"anyone"	"who"	"try"	"to"	"unteach"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
