"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"1:24:00::"	"and"	"of"	"ownership"	"water"	"ownership_and"	"and_of"	"of_water"	"the_ownership_and"	"ownership_and_of"	"and_of_water"	"of_water_."	"DT"	"NN"	"CC"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"act"	"shall"	"be"	"construe"	"to"	"existing"	"law"	"with"	"respect"	"to"	"the"	"ownership"	"and"	"control"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"in"	"of"	"be"	"government"	"be_in"	"in_of"	"of_government"	"cominform_be_in"	"be_in_of"	"in_of_government"	"of_government_from"	"NNP"	"VB"	"VB"	"NN"	"IN"	"NN"	"IN"	"these"	"question"	"we"	"need"	"to"	"ask"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"cross"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"and"	"not"	"merely"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"of"	"."	"out"	"∅"	"out_of"	"of_."	"._∅"	"imagination_out_of"	"out_of_."	"of_._∅"	"._∅_∅"	"NN"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"answer"	"to"	"this"	"and"	"he"	"begin"	"pace"	"back_and_forth"	"across"	"the"	"room"	"his"	"imagination"	"out"	"of"	"control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"and"	"the"	"readjustment"	"disturbance"	"readjustment_and"	"and_the"	"the_disturbance"	"mental_readjustment_and"	"readjustment_and_the"	"and_the_disturbance"	"the_disturbance_inside"	"JJ"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"hear"	"the"	"voice"	"distinctly"	"and"	"he"	"know"	"who"	"it"	"be"	"it"	"take"	"him"	"a"	"while"	"to"	"make"	"the"	"mental"	"readjustment"	"and"	"control"	"the"	"disturbance"	"inside"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"in"	"scours"	"and"	"."	"and_in"	"in_scours"	"scours_."	",_and_in"	"and_in_scours"	"in_scours_."	"scours_._∅"	"ε"	"CC"	"IN"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aid"	"get"	"cattle"	"and"	"sheep"	"on"	"full"	"feed"	"in"	"improve"	"feed"	"conversion"	"growth"	"in"	"reduce"	"bloat"	"and"	"founder"	"and"	"in"	"control"	"scours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"effectively"	"cattle"	"∅"	"grub"	"∅_effectively"	"effectively_cattle"	"cattle_grub"	"∅_∅_effectively"	"∅_effectively_cattle"	"effectively_cattle_grub"	"cattle_grub_which"	"ε"	"ε"	"RB"	"VB"	"NN"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"control"	"cattle"	"grub"	"which"	"damage"	"hide"	"and"	"can"	"reduce"	"gain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"helps"	"shipping"	"∅"	"dysentery"	"∅_helps"	"helps_shipping"	"shipping_dysentery"	"∅_∅_helps"	"∅_helps_shipping"	"helps_shipping_dysentery"	"shipping_dysentery_and"	"ε"	"ε"	"VBZ"	"VB"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"control"	"shipping"	"dysentery"	"and"	"coccidiosis"	"in"	"lamb"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"can"	"rapid"	"he"	"execution"	"he_can"	"can_rapid"	"rapid_execution"	"that_he_can"	"he_can_rapid"	"can_rapid_execution"	"rapid_execution_,"	"RB"	"PRP"	"MD"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speed"	"in"	"paint"	"a"	"picture"	"be"	"valid"	"only"	"when"	"it"	"impart"	"spontaneity"	"and"	"crispness"	"but"	"unless"	"the"	"have"	"lots"	"of"	"experience"	"so"	"that"	"he"	"can"	"control"	"rapid"	"execution"	"he"	"would"	"do_well"	"to"	"take"	"these"	"first"	"sketch"	"and"	"soberly"	"reorder"	"their"	"design"	"to"	"achieve"	"a"	"unified"	"composition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"complete"	"of"	"whose"	"her"	"whose_complete"	"complete_of"	"of_her"	",_whose_complete"	"whose_complete_of"	"complete_of_her"	"of_her_every"	"ε"	"WP$"	"JJ"	"NN"	"IN"	"PRP$"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"as"	"exciting"	"but"	"in"	"a"	"more"	"proficient"	"way"	"be"	"person"	"whose"	"complete"	"control"	"of"	"her"	"every"	"movement"	"be"	"lovely"	"to"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"official"	","	","	"could"	",_official"	"official_,"	",_could"	"unaccountable_,_official"	",_official_,"	"official_,_could"	",_could_you"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"MD"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"then"	"as"	"you"	"go_into"	"the"	"house"	"oppressed"	"by"	"the"	"knowledge"	"that"	"and"	"that"	"your"	"house"	"has"	"pass"	"under"	"this"	"unaccountable"	"official"	"control"	"could"	"you"	"go_on"	"forget"	"that"	"you"	"still"	"have_on"	"that"	"ridiculous"	"hat"	"on"	"your"	"head"	"and"	"you"	"were"	"still"	"carry"	"that"	"childish"	"horn"	"in"	"your"	"hand"	"0"	
"2:41:01::"	"to"	"her"	"effort"	"anger"	"effort_to"	"to_her"	"her_anger"	"an_effort_to"	"effort_to_her"	"to_her_anger"	"her_anger_."	"VB"	"NN"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"see"	"your"	"fire"	"she"	"say"	"speak"	"slowly"	"an"	"effort"	"to"	"control"	"her"	"anger"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"internally"	"environment"	"and"	"to"	"and_internally"	"internally_environment"	"environment_to"	"''_and_internally"	"and_internally_environment"	"internally_environment_to"	"environment_to_cope"	"ε"	"CC"	"RB"	"VB"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"cell"	"coalesce"	"into"	"organism"	"they"	"new"	"unnatural"	"and"	"internally"	"control"	"environment"	"to"	"cope"	"even"	"more"	"successfully"	"with"	"the"	"entropy"	"increasing"	"property"	"of"	"the"	"external"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"easy"	"of"	"the"	"a"	"the_easy"	"easy_of"	"of_a"	"to_the_easy"	"the_easy_of"	"easy_of_a"	"of_a_2"	"TO"	"DT"	"JJ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"to"	"the"	"easy"	"control"	"of"	"a"	"year"	"old"	"child"	"be"	"a"	"lack"	"of"	"verbal"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"and"	"for"	"balance"	"the"	"balance_and"	"and_for"	"for_the"	"overall_balance_and"	"balance_and_for"	"and_for_the"	"for_the_bodybuilder"	"JJ"	"NN"	"CC"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"improve"	"balance"	"and"	"control"	"for"	"the"	"bodybuilder"	"and"	"help"	"to"	"make"	"squat"	"more"	"easily"	"and"	"more"	"correctly"	"perform"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"ball"	","	"through"	"with"	"through_ball"	"ball_,"	",_with"	"game_through_ball"	"through_ball_,"	"ball_,_with"	",_with_quarterback"	"NN"	"IN"	"NN"	"NN"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"win"	"game"	"through"	"ball"	"control"	"with"	"quarterback"	"person"	"throw"	"only"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
