"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:31:00::"	"and"	"them"	"clothes"	"as"	"clothes_and"	"and_them"	"them_as"	"beautiful_clothes_and"	"clothes_and_them"	"and_them_as"	"them_as_carefully"	"JJ"	"NNS"	"CC"	"VB"	"PRP"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attractive"	"greer_garson"	"who"	"beautiful"	"clothes"	"and"	"select"	"them"	"as"	"carefully"	"as"	"she"	"does"	"her"	"professional"	"roles"	"prefer"	"timeless"	"classical"	"designs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"were"	"strictly"	"investigations"	"by"	"investigations_were"	"were_strictly"	"strictly_by"	"new_investigations_were"	"investigations_were_strictly"	"were_strictly_by"	"strictly_by_application"	"JJ"	"NNS"	"VBD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sample"	"areas"	"in"	"new"	"investigations"	"were"	"select"	"strictly"	"by"	"application"	"of"	"the"	"principles"	"of"	"probability_theory"	"so_as_to"	"be"	"representative"	"of"	"the"	"total"	"population"	"of"	"defined"	"areas"	"within"	"calculable"	"limits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"you"	"a"	"when"	"part-time"	"when_you"	"you_a"	"a_part-time"	"look_for_when_you"	"when_you_a"	"you_a_part-time"	"a_part-time_farm"	"VB"	"WRB"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discuss"	"below"	"be"	"some"	"of"	"main"	"thing"	"to"	"look_for"	"when"	"you"	"select"	"a"	"part-time"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"only"	"method"	"dictionary"	"method_for"	"for_only"	"only_dictionary"	"a_method_for"	"method_for_only"	"for_only_dictionary"	"only_dictionary_information"	"DT"	"NN"	"IN"	"VB"	"RB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"propose"	"method"	"for"	"select"	"only"	"dictionary"	"information"	"require"	"by"	"the"	"text"	"being"	"translate"	"and"	"a"	"means"	"for"	"pass"	"the"	"information"	"directly"	"to"	"the"	"occurrence"	"in"	"text"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"and"	"program"	"develop"	"program_for"	"for_and"	"and_develop"	"a_program_for"	"program_for_and"	"for_and_develop"	"and_develop_sale"	"DT"	"NN"	"IN"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"your"	"company"	"a"	"program"	"for"	"select"	"and"	"develop"	"sale"	"and"	"marketing"	"management_personnel"	"for"	"the"	"long"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"by"	"ultraviolet_radiation"	"the"	"ultraviolet_radiation_are"	"are_by"	"by_the"	"of_ultraviolet_radiation_are"	"ultraviolet_radiation_are_by"	"are_by_the"	"by_the_variable"	"IN"	"NN"	"VBP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"different"	"of"	"ultraviolet_radiation"	"are"	"select"	"by"	"the"	"variable"	"filter"	"place"	"in_front_of"	"the"	"three"	"mercury"	"xenon"	"light"	"which"	"serve"	"as"	"the"	"ultraviolet"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"those"	"eye"	"if"	"eye_to"	"to_those"	"those_if"	"omniscient_eye_to"	"eye_to_those"	"to_those_if"	"those_if_any"	"JJ"	"NN"	"TO"	"VB"	"DT"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"it"	"require"	"omniscient"	"eye"	"to"	"select"	"those"	"if"	"any"	"on"	"whom"	"we"	"can"	"now"	"rely_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"patient"	"blood"	"."	"blood_in"	"in_patient"	"patient_."	"the_blood_in"	"blood_in_patient"	"in_patient_."	"patient_._∅"	"DT"	"NN"	"IN"	"VB"	"NN"	"ε"	"ε"	"the"	"group"	"location"	"florida"	"and"	"the"	"location"	"set_out"	"to"	"discover"	"if"	"avocado"	"because"	"of"	"their"	"high"	"content"	"of"	"unsaturated"	"fatty_acid"	"would"	"reduce"	"the"	"cholesterol"	"of"	"the"	"blood"	"in"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"by"	"would"	"a"	"would_be"	"be_by"	"by_a"	"appointee_would_be"	"would_be_by"	"be_by_a"	"by_a_board"	"NN"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"person"	"plan"	"an"	"would"	"be"	"select"	"by"	"a"	"board"	"compose"	"of"	"the"	"governor"	"lieutenant_governor"	"speaker"	"of"	"the"	"house"	"attorney_general"	"and"	"chief_justice"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"over"	"scrutin_uninominal_voting_system"	"some"	"scrutin_uninominal_voting_system_was"	"was_over"	"over_some"	"the_scrutin_uninominal_voting_system_was"	"scrutin_uninominal_voting_system_was_over"	"was_over_some"	"over_some_form"	"DT"	"NN"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"central"	"the"	"scrutin_uninominal_voting_system"	"was"	"select"	"over"	"some"	"form"	"of"	"the"	"scrutin_de_liste_system"	"even"	"though"	"the"	"latter"	"had"	"been"	"recommend"	"by"	"person"	"and"	"favor"	"by"	"all"	"political_party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"appropriately"	"meteorological_conditions"	"under"	"."	"under_appropriately"	"appropriately_meteorological_conditions"	"meteorological_conditions_."	"shore_under_appropriately"	"under_appropriately_meteorological_conditions"	"appropriately_meteorological_conditions_."	"meteorological_conditions_._∅"	"NN"	"IN"	"RB"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"first"	"trial"	"an"	"inert"	"substance"	"was"	"disseminate"	"a"	"boat"	"travel"	"some"	"ten"	"mile"	"off"	"shore"	"under"	"appropriately"	"select"	"meteorological_conditions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"which"	"likely"	"would"	"likely_be"	"be_which"	"which_would"	"would_likely_be"	"likely_be_which"	"be_which_would"	"which_would_sufficient"	"MD"	"RB"	"VB"	"VB"	"WDT"	"MD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"agent"	"likely"	"be"	"select"	"which"	"would"	"sufficient"	"viability"	"and"	"virulence"	"stability"	"to"	"meet"	"realistic"	"minimal"	"logistic"	"requirement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"his"	"degree_of_freedom"	"plant"	"degree_of_freedom_in"	"in_his"	"his_plant"	"new_degree_of_freedom_in"	"degree_of_freedom_in_his"	"in_his_plant"	"his_plant_site"	"JJ"	"NN"	"IN"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"truck"	"and"	"the"	"car"	"the"	"manufacturer"	"a"	"new"	"degree_of_freedom"	"in"	"select"	"his"	"plant"	"site"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"detail"	"as"	"its"	"much"	"its_detail"	"detail_as"	"as_much"	"with_its_detail"	"its_detail_as"	"detail_as_much"	"as_much_for"	"IN"	"PRP$"	"NN"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"method"	"as_well_as"	"in"	"theme"	"little"	"anecdote"	"with"	"its"	"detail"	"select"	"as"	"much"	"for"	"expressiveness"	"and"	"allegory"	"as"	"for"	"realism"	"anticipate"	"a"	"kind"	"of"	"musical_composition"	"as_well"	"as"	"a"	"kind"	"of"	"fictional"	"composition"	"in"	"which"	"as"	"person"	"say"	"there"	"shall"	"be"	"nothing"	"unthematic"	
