"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:31:00::"	"must"	"their"	"they"	"own"	"they_must"	"must_their"	"their_own"	"that_they_must"	"they_must_their"	"must_their_own"	"their_own_complex"	"IN"	"PRP"	"MD"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"importantly"	"several"	"of"	"more"	"advanced"	"of"	"the"	"less"	"developed"	"countries"	"find"	"through"	"experience"	"that"	"they"	"must"	"plan"	"their"	"own"	"complex"	"investment"	"programs"	"for"	"at_least"	"years"	"forward"	"and"	"tentatively"	"for"	"considerably"	"more_than"	"that"	"if"	"they"	"are"	"to"	"be"	"sure"	"that"	"the"	"various"	"interdependent"	"activities"	"involved"	"be"	"all"	"to"	"take_place"	"in"	"the"	"proper"	"sequence"	
"2:31:01::"	"n't"	"on"	"was"	"jump"	"was_n't"	"n't_on"	"on_jump"	"i_was_n't"	"was_n't_on"	"n't_on_jump"	"on_jump_you"	"PRP"	"VBD"	"RB"	"VB"	"IN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"plan"	"on"	"jump"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"been"	"for"	"had"	"several"	"had_been"	"been_for"	"for_several"	",_had_been"	"had_been_for"	"been_for_several"	"for_several_years"	"ε"	"VBD"	"VBN"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"new"	"queen"	"with"	"the"	"prosaic"	"of"	"q3"	"had"	"been"	"plan"	"for"	"several"	"years"	"to"	"replace"	"the"	"queen_mary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"who"	"and"	"genius"	"supervise"	"genius_who"	"who_and"	"and_supervise"	"the_genius_who"	"genius_who_and"	"who_and_supervise"	"and_supervise_the"	"DT"	"NN"	"WP"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"timothy_palmer"	"who"	"invent"	"and"	"later"	"patent"	"the"	"arch"	"type"	"of"	"construction"	"for"	"bridges"	"be"	"the"	"genius"	"who"	"plan"	"and"	"supervise"	"the"	"building"	"of"	"the"	"essex"	"or"	"deer_island"	"bridge"	"although"	"the"	"actual"	"work"	"was"	"carry_out"	"under"	"the"	"direction"	"of"	"william_coombs"	"who"	"receive"	"as"	"recompense"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"soldiers"	"to"	"union"	"destroy"	"union_soldiers"	"soldiers_to"	"to_destroy"	"when_union_soldiers"	"union_soldiers_to"	"soldiers_to_destroy"	"to_destroy_it"	"WRB"	"NNP"	"NNS"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"again"	"reverend_corder"	"save"	"bridge"	"when"	"union"	"soldiers"	"plan"	"to"	"destroy"	"it"	"after"	"fill"	"its"	"two"	"lanes"	"with"	"hay"	"and"	"straw"	"but"	"for"	"what"	"reason"	"is"	"not"	"record"	"nor"	"remember"	"certainly"	"not"	"because"	"of"	"pressure"	"from"	"an"	"opposing"	"confederate"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"a"	"organize"	"week-long"	"organize_and"	"and_a"	"a_week-long"	"have_organize_and"	"organize_and_a"	"and_a_week-long"	"a_week-long_series"	"VBP"	"VB"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"center"	"around"	"this"	"historic"	"old"	"structure"	"a"	"of"	"public-spirited"	"barbour_county"	"citizens"	"have"	"organize"	"and"	"plan"	"a"	"week-long"	"series"	"of"	"events"	"begin"	"on"	"may"	"th"	"and"	"continue"	"through"	"june"	"rd"	"to"	"observe"	"most"	"appropriately"	"the"	"centennial"	"of"	"the"	"first"	"land"	"engagement"	"of"	"the"	"civil_war"	"at"	"philippi"	"0"	"0"	"0"	"0"	
"2:31:01::"	"had"	"to"	"they"	"do"	"they_had"	"had_to"	"to_do"	"as_they_had"	"they_had_to"	"had_to_do"	"to_do_this"	"IN"	"PRP"	"VBD"	"VB"	"TO"	"VB"	"DT"	"0"	"the"	"board"	"of"	"suspension"	"of"	"the"	"interstate_commerce"	"commission"	"has"	"order"	"a"	"group"	"of"	"railroads"	"not"	"to"	"reduce"	"their"	"freight_rates"	"on"	"grain"	"as"	"had"	"plan"	"to"	"do"	"this"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"is"	"to"	"department"	"expand"	"department_is"	"is_to"	"to_expand"	"the_department_is"	"department_is_to"	"is_to_expand"	"to_expand_its"	"DT"	"NN"	"VBZ"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"is"	"plan"	"to"	"expand"	"its"	"eradication"	"program"	"soon"	"to"	"four"	"additional"	"counties"	"troup"	"pierce"	"bryan"	"and"	"bulloch"	"to"	"treat"	"acres"	"infest"	"by"	"the"	"ants"	"accord"	"to"	"w._e._blasingame"	"state"	"entomologist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"the"	"manager"	"menus"	"manager_,"	",_the"	"the_menus"	"house_manager_,"	"manager_,_the"	",_the_menus"	"the_menus_and"	"NN"	"NN"	"ε"	"VB"	"DT"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._clark"	"as"	"manager"	"plan"	"the"	"menus"	"and"	"care"	"for"	"the"	"ordering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"once"	"heart"	"a"	"heart_are"	"are_once"	"once_a"	"and_heart_are"	"heart_are_once"	"are_once_a"	"once_a_week"	"CC"	"NN"	"VBP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"organ"	"meats"	"such_as"	"beef"	"and"	"tongue"	"and"	"heart"	"are"	"plan"	"once"	"a"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"and"	"good"	"food"	"nutrition"	"food_and"	"and_good"	"good_nutrition"	"better_food_and"	"food_and_good"	"and_good_nutrition"	"good_nutrition_,"	"JJR"	"NN"	"CC"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"before"	"he"	"see"	"the"	"of"	"grow"	"better"	"food"	"and"	"plan"	"good"	"nutrition"	"mr._clark"	"feel"	"the"	"school"	"have"	"a"	"good_health"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"nbc"	"a"	"∅"	"new"	"∅_nbc"	"nbc_a"	"a_new"	"∅_∅_nbc"	"∅_nbc_a"	"nbc_a_new"	"a_new_series"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"plan"	"a"	"new"	"series"	"of"	"three"	"long"	"programs"	"explore"	"america"	"scientific"	"plans"	"titled"	"threshold"	"to"	"start"	"in"	"the"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"mrs._charles_h._sethness_jr."	"sunday"	"and"	"for"	"and_mrs._charles_h._sethness_jr."	"mrs._charles_h._sethness_jr._sunday"	"sunday_for"	"mr._and_mrs._charles_h._sethness_jr."	"and_mrs._charles_h._sethness_jr._sunday"	"mrs._charles_h._sethness_jr._sunday_for"	"sunday_for_italian"	"NNP"	"CC"	"NNP"	"VB"	"NNP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"farewell"	"mr."	"and"	"mrs._charles_h._sethness_jr."	"plan"	"sunday"	"for"	"italian"	"consul_general"	"and"	"mrs._giacomo_profili"	"has"	"been"	"cancel"	"because"	"mr._sethness"	"be"	"in"	"illinois_masonic"	"hospital"	"for"	"surgery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"we"	"a"	"n't"	"larger"	"n't_we"	"we_a"	"a_larger"	"are_n't_we"	"n't_we_a"	"we_a_larger"	"a_larger_,"	"VBP"	"RB"	"PRP"	"VB"	"DT"	"JJR"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"why"	"then"	"are"	"we"	"plan"	"a"	"larger"	"more"	"important"	"role"	"for"	"manned"	"military"	"aircraft"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"now"	"section"	"to"	"section_to"	"to_now"	"now_to"	"this_section_to"	"section_to_now"	"to_now_to"	"now_to_make"	"DT"	"NN"	"TO"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"use"	"section"	"to"	"plan"	"now"	"to"	"make"	"the"	"most"	"of"	"your"	"vacation"	"in"	"photogenic"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"how"	"begin"	"he"	"begin_to"	"to_how"	"how_he"	"writer_begin_to"	"begin_to_how"	"to_how_he"	"how_he_might"	"NN"	"VB"	"TO"	"VB"	"WRB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"this"	"evidence"	"in"	"the"	"writer"	"begin"	"to"	"plan"	"how"	"he"	"might"	"more"	"effectively"	"educate"	"the"	"married"	"students"	"in"	"his"	"functional"	"classes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"being"	"by"	"were"	"a"	"were_being"	"being_by"	"by_a"	"events_were_being"	"were_being_by"	"being_by_a"	"by_a_homeowners"	"NNS"	"VBD"	"VBG"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"neighbor"	"women"	"assume"	"some"	"of"	"the"	"mother"	"duties"	"fund-raising"	"events"	"were"	"being"	"plan"	"by"	"a"	"homeowners"	"association"	"and"	"a"	"student"	"council"	"for"	"the"	"hard-hit"	"henry_kowalski"	"family"	"viceroy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"they"	"."	"'s"	"∅"	"'s_they"	"they_."	"._∅"	"soon_'s_they"	"'s_they_."	"they_._∅"	"._∅_∅"	"RB"	"POS"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"be"	"take"	"next"	"he"	"say"	"pleasantly"	"but"	"not"	"so"	"soon"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"to"	"if"	"add"	"if_you"	"you_to"	"to_add"	"∅_if_you"	"if_you_to"	"you_to_add"	"to_add_cooling"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"plan"	"to"	"add"	"cooling"	"later"	"to"	"your"	"heating_system"	"there"	"be"	"things"	"to"	"watch"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"on"	"cheaper"	"a"	"cheaper_to"	"to_on"	"on_a"	"be_cheaper_to"	"cheaper_to_on"	"to_on_a"	"on_a_completely"	"VB"	"JJR"	"TO"	"VB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"problems"	"of"	"combine"	"cooling"	"with"	"your"	"be"	"knotty"	"it"	"may"	"be"	"cheaper"	"to"	"plan"	"on"	"a"	"completely"	"cooling_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"restaurant"	"a"	"'s"	"reunion"	"'s_restaurant"	"restaurant_a"	"a_reunion"	"pal_'s_restaurant"	"'s_restaurant_a"	"restaurant_a_reunion"	"a_reunion_with"	"NNP"	"POS"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"don_drinkhouse"	"of"	"restaurant"	"plan"	"a"	"reunion"	"with"	"the"	"miami_playboy_club"	"pianist"	"julian_gould"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"service"	"for"	"dedication"	"10"	"dedication_service"	"service_for"	"for_10"	"family_dedication_service"	"dedication_service_for"	"service_for_10"	"for_10_:"	"NNP"	"NN"	"NNP"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"particular"	"meaning"	"to"	"the"	"charles_macwhorter"	"family"	"sw"	"th"	"ter."	"will"	"be"	"the"	"dedication"	"service"	"plan"	"for"	"a."	"m._sunday"	"at_first"	"christian_church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
