"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"4:02:00::"	"not"	","	","	"not"	",_not"	"not_,"	",_not"	"the_,_not"	",_not_,"	"not_,_not"	",_not_for"	"DT"	"ε"	"RB"	"RB"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"once"	"in"	"the"	"time"	"that"	"he"	"had"	"know"	"had"	"he"	"ever"	"consider"	"the"	"not"	"once"	"not"	"for"	"one"	"one-thousandth"	"of"	"a"	"second"	"of"	"her"	"infidelity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"never"	"connect"	"she"	"it"	"she_never"	"never_connect"	"connect_it"	"but_she_never"	"she_never_connect"	"never_connect_it"	"connect_it_with"	"CC"	"PRP"	"RB"	"RB"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"know"	"something"	"must"	"be"	"cause"	"person"	"strange"	"behavior"	"but"	"she"	"never"	"once"	"connect"	"it"	"with"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"write"	"literature"	"``"	"literature_,"	",_write"	"write_``"	"of_literature_,"	"literature_,_write"	",_write_``"	"write_``_we"	"IN"	"NN"	"ε"	"RB"	"VB"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"late"	"person"	"a"	"philosopher"	"whose"	"work"	"has"	"helpful"	"to"	"many"	"student"	"of"	"literature"	"once"	"write"	"we"	"be"	"all"	"though"	"many_of"	"us"	"be"	"snobbish"	"enough"	"to"	"wish"	"to"	"deny"	"it"	"in"	"far"	"close"	"sympathy"	"with"	"the"	"art"	"of"	"the"	"music_hall"	"and"	"picture_palace"	"than"	"with"	"person"	"and"	"person"	"or"	"even"	"shakespeare"	"and"	"person"	
"4:02:00::"	"him"	","	"ask"	"``"	"ask_him"	"him_,"	",_``"	"friend_ask_him"	"ask_him_,"	"him_,_``"	",_``_how_come"	"NN"	"VB"	"PRP"	"RB"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"friend"	"him"	"once"	"how_come"	"you"	"bushwhack"	"them"	"rustler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"more_than"	"."	"mention"	"∅"	"mention_more_than"	"more_than_."	"._∅"	"person_mention_more_than"	"mention_more_than_."	"more_than_._∅"	"._∅_∅"	"NNP"	"VB"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"reputation"	"be"	"my"	"stock"	"in"	"person"	"mention"	"more_than"	"once"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"had"	"be"	"of_what"	"the"	"of_what_had"	"had_be"	"be_the"	"shard_of_what_had"	"of_what_had_be"	"had_be_the"	"be_the_side"	"NN"	"RB"	"VBD"	"RB"	"VB"	"DT"	"JJ"	"person"	"drive"	"off"	"when"	"a"	"rusty"	"pickup"	"truck"	"father"	"or"	"grandfather"	"of"	"senor"	"person"	"ford"	"sedan"	"come"	"screech"	"to"	"a"	"dust"	"swirling"	"stop"	"and"	"a"	"brown"	"face"	"appear"	"nose"	"threaten"	"by"	"shard"	"of_what"	"had"	"be"	"the"	"side"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"say"	"to"	"he"	"person"	"he_say"	"say_to"	"to_person"	",_he_say"	"he_say_to"	"say_to_person"	"to_person_and"	"ε"	"PRP"	"VB"	"RB"	"TO"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"paint"	"the"	"nothing"	"say"	"once"	"to"	"person"	"and"	"myself"	"the"	"nothing"	"that_is"	"behind"	"the"	"something"	"the"	"inexpressible"	"unpaintable"	"tick"	"in"	"the"	"unconscious"	"the"	"spirit"	"of"	"the"	"moment"	"rest"	"forever"	"suspend"	"like"	"a"	"huge"	"balloon"	"in"	"non"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"look_back"	"."	"he"	"∅"	"he_look_back"	"look_back_."	"._∅"	"but_he_look_back"	"he_look_back_."	"look_back_._∅"	"._∅_∅"	"CC"	"PRP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"policeman"	"walk"	"but"	"he"	"look_back"	"once"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"had"	"been"	"person"	"kill"	"person_had"	"had_been"	"been_kill"	"where_person_had"	"person_had_been"	"had_been_kill"	"been_kill_."	"WRB"	"NNP"	"VBD"	"JJ"	"VBN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"person"	"loom"	"the"	"group"	"person"	"where"	"person"	"had"	"once"	"been"	"kill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"but"	","	"several"	",_not"	"not_but"	"but_several"	"coming_,_not"	",_not_but"	"not_but_several"	"but_several_time"	"NN"	"ε"	"RB"	"RB"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"you"	"let_loose"	"a"	"howl"	"we"	"announce"	"its"	"coming"	"not"	"once"	"but"	"several"	"time"	"indeed"	"we"	"did"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"might"	"have"	"shakespeare"	"stage"	"shakespeare_might"	"might_have"	"have_stage"	"where_shakespeare_might"	"shakespeare_might_have"	"might_have_stage"	"have_stage_a"	"WRB"	"NN"	"MD"	"RB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"want"	"to"	"own"	"a"	"junior-grade"	"castle"	"or"	"a"	"or"	"some"	"modest"	"little"	"place"	"where"	"shakespeare"	"might"	"once"	"have"	"stage"	"a"	"pageant"	"for"	"person"	"and"	"all"	"her"	"bearded"	"courtier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"if"	","	"that"	"only"	"that_if"	"if_,"	",_only"	"think_that_if"	"that_if_,"	"if_,_only"	",_only_once"	"VB"	"IN"	"IN"	"RB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"that"	"if"	"once"	"only"	"once"	"he"	"could"	"talk"	"with"	"person"	"something"	"about"	"his"	"own"	"life"	"and"	"all"	"life"	"would"	"be"	"clear"	"and"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"only"	","	","	"he"	",_only"	"only_,"	",_he"	"once_,_only"	",_only_,"	"only_,_he"	",_he_could"	"RB"	"ε"	"RB"	"RB"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"think"	"that"	"once"	"only"	"once"	"he"	"could"	"talk"	"with"	"person"	"something"	"about"	"his"	"own"	"life"	"and"	"all"	"life"	"would"	"be"	"clear"	"and"	"simple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"he"	"tell"	"that"	"person"	"that_he"	"he_tell"	"tell_person"	"recall_that_he"	"that_he_tell"	"he_tell_person"	"tell_person_that"	"VB"	"IN"	"PRP"	"RB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"that"	"he"	"once"	"tell"	"person"	"that"	"he"	"doubt"	"person"	"would"	"ever"	"play"	"much"	"for"	"him"	"because"	"he"	"seem"	"to"	"be"	"lacking"	"in"	"all"	"of"	"the"	"accepted"	"basketball"	"skill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	","	"vigorous"	"man"	"but"	"man_,"	",_vigorous"	"vigorous_but"	"loud-voiced_man_,"	"man_,_vigorous"	",_vigorous_but"	"vigorous_but_for"	"JJ"	"NN"	"ε"	"RB"	"JJ"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"loud-voiced"	"man"	"once"	"vigorous"	"but"	"for"	"many"	"year"	"now"	"decline"	"in"	"strength"	"and"	"ability"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"mustache"	"."	"a"	"∅"	"a_mustache"	"mustache_."	"._∅"	"grow_a_mustache"	"a_mustache_."	"mustache_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pa"	"had"	"his"	"head"	"up"	"glare"	"his"	"tooth"	"gnaw"	"the"	"place"	"where"	"he"	"grow"	"a"	"mustache"	"once"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"sit"	"∅_∅"	"∅_,"	",_sit"	"∅_∅_∅"	"∅_∅_,"	"∅_,_sit"	",_sit_at"	"ε"	"ε"	"ε"	"RB"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"at"	"the"	"front"	"window"	"in"	"his"	"parent"	"room"	"he"	"see"	"person"	"come_out"	"of"	"her"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"her"	"∅"	"trembling"	"∅_∅"	"∅_her"	"her_trembling"	"∅_∅_∅"	"∅_∅_her"	"∅_her_trembling"	"her_trembling_hand"	"ε"	"ε"	"ε"	"RB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"trembling"	"hand"	"with"	"the"	"pen"	"grasp"	"tight"	"in"	"it"	"was"	"press"	"against"	"the"	"paper"	"the"	"word"	"come"	"sharply"	"smoothly"	"as"	"authoritatively"	"as"	"they"	"would"	"drop"	"from"	"her"	"own"	"lip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"``"	"you"	"∅"	"get"	"∅_``"	"``_you"	"you_get"	"∅_∅_``"	"∅_``_you"	"``_you_get"	"you_get_the"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"get"	"the"	"feel"	"of"	"it"	"there"	"not"	"much"	"to"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
