"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:41:00::"	"have"	"his"	"could"	"spot"	"could_have"	"have_his"	"his_spot"	"man_could_have"	"could_have_his"	"have_his_spot"	"his_spot_nor"	"NN"	"MD"	"VB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"could"	"have"	"reach"	"his"	"spot"	"nor"	"hold"	"it"	"without"	"be"	"ruthless"	"and"	"hague"	"had"	"make"	"a"	"virtue"	"of"	"ruthlessness"	"all_of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:06::"	"having"	"the"	"without"	"point"	"without_having"	"having_the"	"the_point"	",_without_having"	"without_having_the"	"having_the_point"	"the_point_of"	"ε"	"IN"	"VBG"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"choice"	"of"	"one"	"color"	"mean"	"she"	"is"	"enjoy"	"the"	"motor"	"act"	"of"	"coloring"	"without"	"having"	"reach"	"the"	"point"	"of"	"select"	"suitable"	"colors"	"for"	"different"	"objects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"cannot"	"the"	"flames"	"meat"	"flames_cannot"	"cannot_the"	"the_meat"	",_flames_cannot"	"flames_cannot_the"	"cannot_the_meat"	"the_meat_."	"ε"	"NNS"	"MD"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"keep"	"the"	"grill"	"high"	"enough"	"above"	"the"	"fire"	"so_that"	"fat"	"from"	"meat"	"drip"	"down"	"and"	"flare_up"	"flames"	"cannot"	"reach"	"the"	"meat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"∅"	"the"	"∅"	"house"	"∅_∅"	"∅_the"	"the_house"	"∅_∅_∅"	"∅_∅_the"	"∅_the_house"	"the_house_ahead"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"house"	"ahead"	"of"	"them"	"he"	"wait"	"with"	"his"	"winchester"	"in"	"his"	"hands"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"they"	"broadway"	"before"	"may"	"before_they"	"they_broadway"	"broadway_may"	"shows_before_they"	"before_they_broadway"	"they_broadway_may"	"broadway_may_really"	"NN"	"IN"	"PRP"	"VB"	"NNP"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"times"	"when"	"one"	"suspect"	"that"	"the"	"that"	"are"	"drop"	"from"	"musical"	"shows"	"before"	"they"	"reach"	"broadway"	"may"	"really"	"be"	"better"	"than"	"many_of"	"those"	"that"	"are_left"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"that"	"broadway"	"and_others"	"but"	"and_others_that"	"that_broadway"	"broadway_but"	"new_york_and_others_that"	"and_others_that_broadway"	"that_broadway_but"	"broadway_but_have"	"NN"	"RB"	"WDT"	"VB"	"NNP"	"CC"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"these"	"double_entries"	"have"	"been"	"collect"	"by"	"ben_bagley"	"and"	"michael_mcwhinney"	"along"	"rodgers"	"and"	"hart"	"songs"	"that"	"disappear"	"permanently"	"en_route"	"to"	"new_york"	"and_others"	"that"	"reach"	"broadway"	"but"	"have"	"not"	"become"	"part"	"of"	"the"	"constantly"	"hear"	"rodgers"	"and"	"hart"	"repertory"	"in"	"a"	"delightfully"	"refreshing"	"album"	"rodgers"	"and"	"hart_revisited"	"spruce"	"records"	"fifth_avenue"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:06::"	"has"	"some"	"and"	"predictable"	"and_has"	"has_some"	"some_predictable"	"state_department_and_has"	"and_has_some"	"has_some_predictable"	"some_predictable_conclusions"	"NN"	"CC"	"VBZ"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"senate"	"subcommittee"	"head"	"by"	"sen._jackson"	"of"	"has"	"been"	"go_over"	"the"	"state_department"	"and"	"has"	"reach"	"some"	"predictable"	"conclusions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"jones"	"philippi"	")"	"while"	")_jones"	"jones_philippi"	"philippi_while"	"grumble_)_jones"	")_jones_philippi"	"jones_philippi_while"	"philippi_while_on"	"NNP"	"ε"	"NNP"	"VB"	"NNP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"what"	"the"	"elements"	"could"	"not"	"do"	"was"	"threaten"	"when"	"brigadier_general"	"william_e."	"grumble"	"jones"	"reach"	"philippi"	"while"	"on"	"the"	"famous"	"jones-imboden"	"raid"	"in"	"may"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"the"	"strides"	"minority"	"strides_to"	"to_the"	"the_minority"	"its_strides_to"	"strides_to_the"	"to_the_minority"	"the_minority_listener"	"PRP$"	"NNS"	"TO"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"radio"	"is"	"easily"	"outdistance"	"in"	"its"	"strides"	"to"	"reach"	"the"	"minority"	"listener"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"police"	"the"	"when"	"1"	"when_police"	"police_the"	"the_1"	",_when_police"	"when_police_the"	"police_the_1"	"the_1_-"	"ε"	"WRB"	"NN"	"VB"	"DT"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"after"	"a._m."	"police"	"reach"	"the"	"story"	"brick"	"home"	"in"	"the"	"franklin_manor"	"section"	"miles"	"south"	"of"	"here"	"on"	"the"	"bay"	"in"	"response"	"to"	"a"	"call"	"from"	"the"	"dresbach"	"son"	"lee"	"they"	"find"	"mrs._dresbach"	"body"	"on"	"the"	"first-floor"	"bedroom"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:06::"	"clearly"	"the"	"had"	"breaking_point"	"had_clearly"	"clearly_the"	"the_breaking_point"	"mary_black_had_clearly"	"had_clearly_the"	"clearly_the_breaking_point"	"the_breaking_point_after"	"NNP"	"VBD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"marriage"	"of"	"and"	"mary_black"	"had"	"clearly"	"reach"	"the"	"breaking_point"	"after"	"eight"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"issue"	"its"	"an"	"test"	"an_issue"	"issue_its"	"its_test"	"before_an_issue"	"an_issue_its"	"issue_its_test"	"its_test_on"	"IN"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"public"	"efforts"	"be"	"rare"	"because"	"mr._rayburn"	"normally"	"do"	"counseling"	"persuading"	"and"	"educating"	"long"	"before"	"an"	"issue"	"reach"	"its"	"test"	"on"	"the"	"house"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
