"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"2:38:00::"	"and"	"along"	","	"a"	",_and"	"and_along"	"along_a"	"ottoman_empire_,_and"	",_and_along"	"and_along_a"	"along_a_road"	"NNP"	"ε"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go"	"through"	"the"	"imperial_gate"	"in"	"the"	"wall"	"i"	"enter"	"the"	"grounds"	"of"	"topkapi_palace"	"of"	"the"	"sultans"	"and"	"nerve_center"	"of"	"the"	"vast"	"ottoman_empire"	"and"	"walk"	"along"	"a"	"road"	"toward"	"another"	"gate"	"in"	"the"	"distance"	"past"	"the"	"church"	"of"	"st._irene"	"complete"	"by"	"constantine"	"in"	"a._d."	"on"	"my"	"left"	"and_then"	"just"	"outside"	"the"	"second"	"gate"	"i"	"see"	"a"	"spring"	"with"	"a"	"tap"	"in"	"the"	"wall"	"on"	"my"	"right"	"the"	"executioner"	"spring"	"where"	"he"	"wash"	"his"	"hands"	"and"	"his"	"sword"	"after"	"behead"	"his"	"victims"	
"2:38:00::"	"and"	"up"	"houses"	"through"	"houses_and"	"and_up"	"up_through"	"and_houses_and"	"houses_and_up"	"and_up_through"	"up_through_the"	"CC"	"NNS"	"CC"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"spring"	"and"	"summer"	"evenings"	"leave"	"their"	"shops"	"and"	"houses"	"and"	"walk"	"up"	"through"	"the"	"lanes"	"of"	"the"	"city"	"to"	"the"	"bridge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"susie"	"out"	"and"	"a"	"and_susie"	"susie_out"	"out_a"	"remove_and_susie"	"and_susie_out"	"susie_out_a"	"out_a_healthier"	"VB"	"CC"	"NNP"	"VB"	"RB"	"DT"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"come"	"the"	"time"	"when"	"last"	"wire"	"is"	"remove"	"and"	"susie"	"walk"	"out"	"a"	"healthier"	"and"	"more"	"attractive"	"girl"	"than"	"when"	"she"	"first"	"go"	"to"	"the"	"orthodontist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"careful"	"dogs"	"careful_to"	"to_the"	"the_dogs"	"be_careful_to"	"careful_to_the"	"to_the_dogs"	"the_dogs_in"	"VB"	"JJ"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"settle"	"we"	"careful"	"to"	"walk"	"the"	"dogs"	"in"	"an"	"out_of_the_way"	"spot"	"keep"	"them"	"under_control"	"in"	"the"	"room"	"and"	"feed"	"and"	"bench"	"them"	"where"	"they"	"can"	"n't"	"do"	"any"	"harm"	"to"	"the"	"furnishings"	"or"	"the"	"furniture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"to_the_rear"	","	"wall"	",_he"	"he_to_the_rear"	"to_the_rear_wall"	"concealed_,_he"	",_he_to_the_rear"	"he_to_the_rear_wall"	"to_the_rear_wall_of"	"JJ"	"ε"	"PRP"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hold"	"the"	"concealed"	"he"	"walk"	"to_the_rear"	"wall"	"of"	"the"	"stockade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"occasion"	"a"	"the"	"treacherous"	"the_occasion"	"occasion_a"	"a_treacherous"	"to_the_occasion"	"the_occasion_a"	"occasion_a_treacherous"	"a_treacherous_path"	"TO"	"DT"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whoever"	"rises"	"the"	"occasion"	"walk"	"a"	"treacherous"	"path"	"to"	"leadership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"had"	"to_it"	"he"	"."	"he_had"	"had_to_it"	"to_it_."	",_he_had"	"he_had_to_it"	"had_to_it_."	"to_it_._∅"	"ε"	"PRP"	"VBD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"since"	"the"	"auction"	"was"	"hold"	"nearby"	"he"	"had"	"walk"	"to_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"between"	"before"	"two"	"before_,"	",_between"	"between_two"	"it_before_,"	"before_,_between"	",_between_two"	"between_two_trees"	"PRP"	"RB"	"ε"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"face"	"the"	"forest"	"now"	"she"	"who"	"had"	"dare"	"to"	"enter"	"it"	"before"	"walk"	"between"	"two"	"trees"	"at_random"	"and"	"head"	"in_what"	"she"	"believe"	"be"	"the"	"direction"	"of"	"the"	"pool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"along"	"as"	"."	"as_she"	"she_along"	"along_."	"peaceful_as_she"	"as_she_along"	"she_along_."	"along_._∅"	"JJ"	"IN"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pamela"	"feel"	"calm"	"peaceful"	"as"	"she"	"walk"	"along"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"toward"	"to_the_south"	"the"	"to_the_south_and"	"and_toward"	"toward_the"	"ridge_to_the_south_and"	"to_the_south_and_toward"	"and_toward_the"	"toward_the_house"	"NN"	"RB"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"late"	"afternoon"	"on"	"the"	"last_day"	"in"	"june"	"see"	"two"	"people"	"top"	"the"	"ridge"	"to_the_south"	"and"	"walk"	"toward"	"the"	"house"	"he"	"quit"	"work"	"immediately"	"and"	"stride"	"to"	"his"	"rifle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"past"	"∅"	"the"	"∅_he"	"he_past"	"past_the"	"∅_∅_he"	"∅_he_past"	"he_past_the"	"past_the_sheriff"	"ε"	"ε"	"PRP"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"walk"	"past"	"the"	"sheriff"	"into"	"a"	"windowless"	"room"	"with"	"shelves"	"full_of"	"big"	"leather-bound"	"volumes"	"from"	"floor"	"to"	"ceiling"	"all_around"	"the"	"walls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"ekstrohm"	"through"	"∅"	"the"	"∅_ekstrohm"	"ekstrohm_through"	"through_the"	"∅_∅_ekstrohm"	"∅_ekstrohm_through"	"ekstrohm_through_the"	"through_the_alien"	"ε"	"ε"	"NNP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"walk"	"through"	"the"	"alien"	"glass"	"and"	"look"	"up"	"at"	"the"	"unfamiliar"	"constellations"	"smell"	"the"	"frozen"	"sterility"	"of"	"the"	"thin"	"air"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"not"	"in_darkness"	"shall"	","	"shall_not"	"not_in_darkness"	"in_darkness_,"	"me_shall_not"	"shall_not_in_darkness"	"not_in_darkness_,"	"in_darkness_,_but"	"PRP"	"MD"	"RB"	"VB"	"RB"	"ε"	"CC"	"come"	"into"	"this"	"world"	"himself"	"in"	"the"	"person"	"of"	"his"	"son"	"jesus_christ"	"who"	"stand"	"here"	"amid"	"the"	"darkness"	"of"	"human"	"sin"	"and"	"say"	"i"	"be"	"the"	"light"	"of"	"the"	"world"	"he"	"that"	"followeth"	"me"	"shall"	"not"	"in_darkness"	"but"	"shall"	"have"	"the"	"light"	"of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
