"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:42:00::"	"to"	"their"	"unable"	"flow"	"unable_to"	"to_their"	"their_flow"	"himself_unable_to"	"unable_to_their"	"to_their_flow"	"their_flow_although"	"PRP"	"JJ"	"TO"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"normally"	"hague"	"waste"	"no"	"words"	"but"	"he"	"find"	"himself"	"unable"	"to"	"stop"	"their"	"flow"	"although"	"he"	"know"	"kodyke"	"be"	"aware_of"	"all"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	","	"∅"	"embarrassed"	"∅_he"	"he_,"	",_embarrassed"	"∅_∅_he"	"∅_he_,"	"he_,_embarrassed"	",_embarrassed_,"	"ε"	"ε"	"PRP"	"VB"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stop"	"embarrassed"	"and"	"morgan"	"say"	"i"	"understand"	"that"	"but"	"i"	"do"	"n't"	"savvy"	"why"	"you"	"go_off"	"and"	"leave"	"your"	"jobs"	"in_the_first_place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"to"	"by"	"mr._case"	"to"	"mr._case_to"	"to_by"	"by_to"	"invite_mr._case_to"	"mr._case_to_by"	"to_by_to"	"by_to_say"	"VB"	"NNP"	"TO"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"mr._case"	"to"	"stop"	"by"	"to"	"say"	"hello"	"if"	"he"	"ever"	"visit"	"the"	"academy"	"and_then"	"add"	"that"	"he"	"be"	"on"	"the"	"managerial"	"staff"	"of"	"the"	"freshman"	"football_team"	"we"	"have"	"just"	"return"	"from"	"roswell"	"n._m."	"where"	"we"	"were"	"defeat"	"to"	"the"	"young_man"	"note"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	","	"well"	"give"	"well_he"	"he_,"	",_give"	"not_well_he"	"well_he_,"	"he_,_give"	",_give_the"	"RB"	"RB"	"PRP"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._dwyer"	"say"	"that"	"although"	"it"	"be"	"that"	"mr._rayburn"	"be"	"not"	"well"	"he"	"stop"	"give"	"the"	"youngster"	"his"	"autograph"	"ask"	"where"	"he"	"be"	"from"	"and"	"express"	"the"	"hope"	"that"	"he"	"would"	"enjoy"	"his"	"visit"	"to"	"congress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"not"	"on"	"would"	"the"	"would_not"	"not_on"	"on_the"	"buses_would_not"	"would_not_on"	"not_on_the"	"on_the_parkway"	"NNS"	"MD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"would"	"not"	"stop"	"on"	"the"	"parkway"	"land"	"for"	"bus_stations"	"and"	"for"	"parking_areas"	"nearby"	"will"	"be"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"has"	"slide"	"business"	"and"	"business_has"	"has_slide"	"slide_and"	"think_business_has"	"business_has_slide"	"has_slide_and"	"slide_and_that"	"VB"	"NN"	"VBZ"	"VB"	"VB"	"CC"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"now"	"mr._hodges"	"has"	"pioneer"	"further"	"into"	"the"	"unknown"	"with"	"the"	"announcement"	"that"	"he"	"think"	"business"	"has"	"stop"	"slide"	"and"	"that"	"it"	"should"	"start"	"go"	"upward"	"from"	"this"	"point"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"a"	"tractor-trailer"	"into"	"and"	"into_a"	"a_tractor-trailer"	"tractor-trailer_and"	"skid_into_a"	"into_a_tractor-trailer"	"a_tractor-trailer_and"	"tractor-trailer_and_burst"	"VB"	"IN"	"DT"	"VB"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"auto"	"overturn"	"into"	"a"	"stop"	"tractor-trailer"	"and"	"burst"	"into"	"flames"	"near"	"snellville"	"the"	"patrol"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"never"	"on"	"was"	"these"	"was_never"	"never_on"	"on_these"	"engine_was_never"	"was_never_on"	"never_on_these"	"on_these_trips"	"NN"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dependable"	"engine"	"was"	"never"	"stop"	"on"	"these"	"trips"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"the"	"boulder"	"land_rover"	"boulder_,"	",_the"	"the_land_rover"	"the_boulder_,"	"boulder_,_the"	",_the_land_rover"	"the_land_rover_,"	"DT"	"NN"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"drive"	"the"	"boulder"	"stop"	"the"	"land_rover"	"and"	"walk"	"over"	"toward"	"the"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"heart"	"beat"	"the"	"and"	"the_heart"	"heart_beat"	"beat_and"	"but_the_heart"	"the_heart_beat"	"heart_beat_and"	"beat_and_the"	"CC"	"DT"	"NN"	"VB"	"VB"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hughes"	"say"	"monday"	"it"	"be"	"the"	"apparent"	"intention"	"of"	"the"	"republican_party"	"to"	"on"	"the"	"carcass"	"of_what"	"they"	"call"	"eisenhower_republicanism"	"but"	"the"	"heart"	"stop"	"beat"	"and"	"the"	"lifeblood"	"congeal"	"after"	"eisenhower"	"retire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"buggy"	"beside"	"'s"	"her"	"'s_buggy"	"buggy_beside"	"beside_her"	"roy_'s_buggy"	"'s_buggy_beside"	"buggy_beside_her"	"beside_her_on"	"NNP"	"POS"	"NN"	"VB"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"zion"	"be"	"surprised"	"roy"	"buggy"	"stop"	"beside"	"her"	"on"	"the"	"pike"	"one"	"early"	"summer"	"day"	"as"	"she"	"was"	"walk"	"home"	"from"	"the"	"country"	"school"	"where"	"she"	"was"	"teach"	"now"	"that"	"eph_showers"	"had"	"have"	"a"	"call"	"to"	"preach"	"in"	"some"	"mountain"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"who"	"sell"	"markets"	"the"	"markets_who"	"who_sell"	"sell_the"	"world_markets_who"	"markets_who_sell"	"who_sell_the"	"sell_the_metal"	"NN"	"NNS"	"WP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"peiping"	"chinese"	"be"	"the"	"only"	"silver"	"seller"	"in"	"the"	"world"	"markets"	"who"	"stop"	"sell"	"the"	"metal"	"on"	"monday"	"morning"	"november"	"anticipate"	"by"	"two"	"days"	"the"	"announcement"	"of"	"the"	"u._s._treasury"	"that"	"the"	"pegged"	"offering"	"price"	"will"	"be"	"remove"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"belvidere"	"belatedly"	"on"	"inside"	"on_belvidere"	"belvidere_belatedly"	"belatedly_inside"	"north_on_belvidere"	"on_belvidere_belatedly"	"belvidere_belatedly_inside"	"belatedly_inside_the"	"RB"	"IN"	"NNP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kimmell"	"say"	"he"	"and"	"ralph"	"were"	"help"	"children"	"across"	"at"	"kercheval_monday"	"afternoon"	"when"	"a"	"car"	"head"	"north"	"on"	"belvidere"	"stop"	"belatedly"	"inside"	"the"	"pedestrian"	"crosswalk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"he"	"the"	","	"bus"	",_he"	"he_the"	"the_bus"	"relate_,_he"	",_he_the"	"he_the_bus"	"the_bus_and"	"VB"	"ε"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"st"	"street"	"was"	"reach"	"relate"	"he"	"stop"	"the"	"bus"	"and"	"tell"	"the"	"youths"	"he"	"was"	"go"	"to"	"call"	"the"	"cta"	"supervisor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"the"	"glass"	"sun"	"glass_to"	"to_the"	"the_sun"	"heat-absorbing_glass_to"	"glass_to_the"	"to_the_sun"	"the_sun_,"	"JJ"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"can"	"heat-absorbing"	"glass"	"to"	"stop"	"the"	"sun"	"double"	"glass"	"and"	"insulated"	"glass"	"to"	"combat"	"condensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"."	"him"	"∅"	"him_and"	"and_."	"._∅"	"alongside_him_and"	"him_and_."	"and_._∅"	"._∅_∅"	"IN"	"PRP"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"car"	"alongside"	"him"	"and"	"stop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
