"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:30:00::"	"it"	"to"	"if"	"pass"	"if_it"	"it_to"	"to_pass"	"∅_if_it"	"if_it_to"	"it_to_pass"	"to_pass_,"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"fail"	"to"	"pass"	"he"	"can"	"throw"	"up"	"his"	"hands"	"and"	"say"	"the"	"legislature"	"would"	"not"	"support"	"him"	"in"	"his"	"efforts"	"to"	"prevent"	"integration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"we"	"to"	"if"	"develop"	"if_we"	"we_to"	"to_develop"	"∅_if_we"	"if_we_to"	"we_to_develop"	"to_develop_the"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"fail"	"to"	"develop"	"the"	"means"	"to"	"hunt_down"	"and"	"destroy"	"the"	"enemy"	"military_force"	"with"	"extreme"	"care"	"and"	"precision"	"and"	"if"	"war"	"come"	"in"	"spite"	"of"	"our"	"most"	"ardent"	"desires"	"for"	"peace"	"our"	"choice"	"of"	"alternatives"	"will"	"be"	"truly"	"frightening"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"parties"	"to"	"the"	"sign"	"the_parties"	"parties_to"	"to_sign"	"if_the_parties"	"the_parties_to"	"parties_to_sign"	"to_sign_an"	"IN"	"DT"	"NNS"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"army"	"leaders"	"threaten"	"to"	"form"	"new"	"military"	"government"	"if"	"the"	"parties"	"fail"	"to"	"sign"	"an"	"eight"	"point"	"protocol"	"agree"	"on"	"gen._gursel"	"as"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"has"	"in"	"commander"	"his"	"commander_has"	"has_in"	"in_his"	"the_commander_has"	"commander_has_in"	"has_in_his"	"in_his_duty"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"fail"	"in"	"his"	"duty"	"if"	"he"	"has"	"not"	"win"	"victory"	"for"	"that"	"be"	"his"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"jury"	"to"	"the"	"reach"	"the_jury"	"jury_to"	"to_reach"	"when_the_jury"	"the_jury_to"	"jury_to_reach"	"to_reach_a"	"WRB"	"DT"	"NN"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"verdict"	"bring"	"vindication"	"to"	"the"	"dead"	"woman"	"stepson"	"vincent_hengesbach"	"who"	"was"	"try"	"for"	"the"	"crime"	"in"	"december"	"and"	"release"	"when"	"the"	"jury"	"fail"	"to"	"reach"	"a"	"verdict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"that"	"to"	"jury"	"reach"	"jury_that"	"that_to"	"to_reach"	"the_jury_that"	"jury_that_to"	"that_to_reach"	"to_reach_a"	"DT"	"NN"	"WDT"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fbi"	"yesterday"	"arrest"	"on"	"a"	"perjury"	"one"	"of"	"the"	"members"	"of"	"the"	"jury"	"that"	"fail"	"to"	"reach"	"a"	"verdict"	"in"	"the"	"freedom_rider"	"bus"	"burn"	"trial"	"four"	"weeks"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"louisiana"	"to"	"in"	"destroy"	"in_louisiana"	"louisiana_to"	"to_destroy"	"spraying_in_louisiana"	"in_louisiana_to"	"louisiana_to_destroy"	"to_destroy_its"	"NN"	"IN"	"NNP"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"buchheister"	"tell"	"delegates"	"to"	"the"	"that"	"aerial"	"spraying"	"in"	"louisiana"	"fail"	"to"	"destroy"	"its"	"target"	"the"	"fire_ant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"huff"	"to"	"after"	"report"	"after_huff"	"huff_to"	"to_report"	"discover_after_huff"	"after_huff_to"	"huff_to_report"	"to_report_for"	"VB"	"IN"	"NNP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"shortage"	"discover"	"after"	"huff"	"fail"	"to"	"report"	"for"	"work"	"on"	"sept."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	","	"and"	"stumble"	"and_,"	",_,"	",_stumble"	"balance_and_,"	"and_,_,"	",_,_stumble"	",_stumble_against"	"NN"	"CC"	"ε"	"VB"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roberts"	"careen"	"backward"	"his"	"back"	"arched"	"for"	"balance"	"and"	"fail"	"stumble"	"against"	"the"	"newel_post"	"at"	"the"	"foot"	"of"	"the"	"stairs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"have"	"to"	"it"	"post"	"it_have"	"have_to"	"to_post"	"could_it_have"	"it_have_to"	"have_to_post"	"to_post_the"	"VB"	"PRP"	"VBP"	"VB"	"TO"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"if"	"the"	"mission"	"of"	"the"	"trial"	"be"	"convict"	"anti-semitism"	"how"	"could"	"it"	"have"	"fail"	"to"	"post"	"the"	"world"	"the"	"contrasting"	"fate"	"of"	"the"	"country"	"in"	"which"	"the"	"final_solution"	"was"	"aid"	"by"	"native"	"jew"	"hater"	"i.e."	"germany"	"poland"	"hungary"	"czechoslovakia"	"and"	"those"	"in"	"which"	"it"	"meet"	"the"	"obstacle"	"of"	"human"	"solidarity"	"denmark"	"holland"	"italy"	"bulgaria"	"france"	
"2:41:02::"	","	"to"	"democracy"	"flourish"	"democracy_,"	",_to"	"to_flourish"	"american_democracy_,"	"democracy_,_to"	",_to_flourish"	"to_flourish_in"	"JJ"	"NN"	"ε"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"did"	"it"	"happen"	"for_example"	"that"	"the"	"state"	"university"	"great"	"symbol"	"of"	"american"	"democracy"	"fail"	"to"	"flourish"	"in"	"new_england"	"as"	"it"	"did"	"in"	"part"	"of"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"business"	","	"family"	"mercer"	"family_business"	"business_,"	",_mercer"	"the_family_business"	"family_business_,"	"business_,_mercer"	",_mercer_leave"	"DT"	"NN"	"NN"	"VB"	"ε"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"family"	"business"	"fail"	"mercer"	"leave"	"school"	"and"	"on"	"his"	"mother"	"urging"	"for"	"she"	"hope"	"that"	"he"	"would"	"become"	"an"	"actor"	"he"	"join"	"a"	"local"	"little"	"theater"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"?"	"had"	"∅"	"had_he"	"he_?"	"?_∅"	"where_had_he"	"had_he_?"	"he_?_∅"	"?_∅_∅"	"WRB"	"VBD"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"he"	"fail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
