"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:14:01::"	"full"	"of"	"a"	"1000"	"a_full"	"full_of"	"of_1000"	"and_a_full"	"a_full_of"	"full_of_1000"	"of_1000_man"	"CC"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"enemy"	"had"	"filter"	"across"	"the"	"during"	"the"	"night"	"and"	"a"	"full"	"force"	"of"	"man"	"armed"	"with"	"russian"	"machine_gun"	"attack"	"the"	"hold"	"by"	"person"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"another"	"flank"	"∅"	"the"	"∅_another"	"another_flank"	"flank_the"	"∅_∅_another"	"∅_another_flank"	"another_flank_the"	"flank_the_company"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"flank"	"the"	"company"	"and"	"take_up"	"a"	"position"	"a"	"hill"	"to"	"the"	"rear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"blockading"	","	"the"	"submarine"	"the_blockading"	"blockading_,"	",_submarine"	"round_out_the_blockading"	"the_blockading_,"	"blockading_,_submarine"	",_submarine_would"	"VB"	"DT"	"JJ"	"NN"	"ε"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"blockading"	"force"	"submarine"	"would"	"be"	"need"	"to"	"locate"	"identify"	"and"	"track"	"approaching"	"vessel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"blockading"	"must"	"the"	"be"	"the_blockading"	"blockading_must"	"must_be"	";_the_blockading"	"the_blockading_must"	"blockading_must_be"	"must_be_powerful"	"ε"	"DT"	"JJ"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"requirement"	"go_with"	"a"	"blockade"	"it"	"be"	"proclaim"	"the"	"blockading"	"force"	"must"	"be"	"powerful"	"enough"	"to"	"enforce"	"it"	"and"	"it"	"must"	"be"	"enforce"	"without"	"discrimination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"countervailing"	"of"	"the"	"residential"	"the_countervailing"	"countervailing_of"	"of_residential"	",_the_countervailing"	"the_countervailing_of"	"countervailing_of_residential"	"of_residential_and"	"ε"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"american"	"life"	"be"	"committed"	"above_all"	"to"	"productivity"	"a"	"high"	"standard"	"of"	"economic"	"life"	"the"	"countervailing"	"force"	"of"	"residential"	"and"	"religious"	"exclusiveness"	"have"	"fight"	"a"	"desperate"	"rearguard"	"action"	"against"	"the"	"expanding"	"interdependence"	"of"	"the"	"metropolis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"our"	"at"	"of"	"approximately"	"of_our"	"our_at"	"at_approximately"	"support_of_our"	"of_our_at"	"our_at_approximately"	"at_approximately_the"	"NN"	"IN"	"PRP$"	"NN"	"IN"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"budget"	"will"	"provide_for"	"in"	"the"	"fiscal_year"	"the"	"continued"	"support"	"of"	"our"	"force"	"at"	"approximately"	"the"	"present"	"level"	"a"	"year-end"	"strength"	"of"	"man"	"and"	"woman"	"in"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"active"	"."	"the"	"∅"	"the_active"	"active_."	"._∅"	"in_the_active"	"the_active_."	"active_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"this"	"budget"	"will"	"provide_for"	"in"	"the"	"fiscal_year"	"for"	"the"	"continued"	"support"	"of"	"our"	"force"	"at"	"approximately"	"the"	"present"	"level"	"a"	"year-end"	"strength"	"of"	"man"	"and"	"in"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"active"	"."	"the"	"∅"	"the_active"	"active_."	"._∅"	"of_the_active"	"the_active_."	"active_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"reserve"	"component"	"are"	"to"	"serve"	"effectively"	"time"	"of"	"war"	"their"	"basic"	"organization"	"and"	"objective"	"must"	"the"	"changing"	"character"	"and"	"mission"	"of"	"the"	"active"	"force"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"to"	"person"	"turn"	"person_was"	"was_to"	"to_turn"	",_person_was"	"person_was_to"	"was_to_turn"	"to_turn_south"	"ε"	"NNP"	"VBD"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"berg"	"large"	"person"	"was"	"force"	"to"	"turn"	"south"	"into"	"what"	"be"	"now"	"location"	"an"	"inlet"	"of"	"the"	"great"	"strait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"of"	"-"	"complex"	"no"	"complex_of"	"of_-"	"-_no"	"a_complex_of"	"complex_of_-"	"of_-_no"	"-_no_single"	"DT"	"NN"	"IN"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wage"	"price"	"policy"	"of"	"industry"	"the"	"result"	"of"	"a"	"complex"	"of"	"force"	"no"	"single"	"explanation"	"has"	"been"	"find"	"which"	"apply"	"to"	"all"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"one"	","	"this"	"which"	"this_one"	"one_,"	",_which"	"of_this_one"	"this_one_,"	"one_,_which"	",_which_we"	"RB"	"RB"	"JJ"	"NN"	"ε"	"WDT"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order_to"	"focus"	"clearly"	"upon"	"operation"	"of"	"this"	"one"	"force"	"which"	"we"	"may"	"call"	"the"	"effect"	"of"	"public"	"limit"	"price"	"on"	"key"	"wage"	"bargain"	"we"	"deliberately"	"simplify"	"the"	"model"	"by"	"abstract"	"from"	"force"	"such_as"	"union"	"power"	"which"	"may"	"be"	"relevant"	"in"	"an"	"actual"	"situation"	
"1:07:01::"	"from"	","	"abstract"	"such_as"	"abstract_from"	"from_,"	",_such_as"	"by_abstract_from"	"abstract_from_,"	"from_,_such_as"	",_such_as_union"	"IN"	"VB"	"IN"	"NN"	"ε"	"JJ"	"NN"	"clearly"	"upon"	"the"	"operation"	"of"	"this"	"one"	"force"	"which"	"we"	"may"	"call"	"the"	"effect"	"of"	"public"	"limit"	"price"	"on"	"key"	"wage"	"bargain"	"we"	"deliberately"	"simplify"	"the"	"model"	"by"	"abstract"	"from"	"such_as"	"union"	"power"	"which"	"may"	"be"	"relevant"	"in"	"an"	"actual"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"these"	"here"	"from"	"."	"from_these"	"these_here"	"here_."	"abstract_from_these"	"from_these_here"	"these_here_."	"here_._∅"	"VB"	"IN"	"DT"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"union"	"vigorously"	"demand"	"wage"	"increase"	"from"	"productivity"	"increase"	"and"	"wage"	"to"	"offset"	"cost_of_living"	"increase"	"but"	"we"	"abstract"	"from"	"these"	"force"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"to"	"friend"	"agree"	"friend_was"	"was_to"	"to_agree"	"the_friend_was"	"friend_was_to"	"was_to_agree"	"to_agree_."	"DT"	"NN"	"VBD"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yeah"	"i"	"can"	"see"	"that"	"friend"	"was"	"force"	"to"	"agree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"∅"	"to"	"∅"	"realize"	"∅_∅"	"∅_to"	"to_realize"	"∅_∅_∅"	"∅_∅_to"	"∅_to_realize"	"to_realize_that"	"ε"	"ε"	"ε"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"realize"	"that"	"this"	"be"	"the"	"end"	"of"	"a"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"of"	"a"	"slightly"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	
"2:36:00::"	"he"	"himself"	","	"to"	",_he"	"he_himself"	"himself_to"	"it_,_he"	",_he_himself"	"he_himself_to"	"himself_to_think_back"	"PRP"	"ε"	"PRP"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"his"	"inner"	"thought"	"at"	"it"	"he"	"force"	"himself"	"to"	"think_back"	"recreate"	"the"	"scene"	"in"	"which"	"person"	"claim"	"to"	"have"	"catch"	"him"	"molest"	"the"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	")"	"and"	"voltaic"	"magnetic_force"	"voltaic_)"	")_and"	"and_magnetic_force"	"and_voltaic_)"	"voltaic_)_and"	")_and_magnetic_force"	"and_magnetic_force_had"	"CC"	"JJ"	"ε"	"NN"	"CC"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"association"	"between"	"electric"	"electrostatic"	"and"	"voltaic"	"force"	"and"	"magnetic_force"	"had"	"been"	"recognize"	"by"	"investigator"	"for"	"many"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"terrible"	"were"	"great"	"coagulate"	"great_terrible"	"terrible_were"	"were_coagulate"	"three_great_terrible"	"great_terrible_were"	"terrible_were_coagulate"	"were_coagulate_and"	"JJ"	"JJ"	"JJ"	"NN"	"VBD"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"three"	"terrible"	"force"	"were"	"coagulate"	"and"	"crystallize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"of"	"by"	"his"	"by_the"	"the_of"	"of_his"	",_by_the"	"by_the_of"	"the_of_his"	"of_his_creative"	"ε"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"might"	"well"	"emerge"	"as"	"a"	"hero"	"who"	"by"	"the"	"force"	"of"	"his"	"creative"	"life"	"help"	"preserve"	"the"	"main"	"stream"	"of"	"tradition"	"to"	"which"	"the"	"surviving"	"idiom"	"of"	"current"	"experimentalism"	"may"	"be"	"eventually"	"add"	"and"	"integrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"lack"	"and"	"faith"	"authority"	"faith_lack"	"lack_and"	"and_authority"	"ancestral_faith_lack"	"faith_lack_and"	"lack_and_authority"	"and_authority_even"	"JJ"	"NN"	"VB"	"NN"	"CC"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"offer"	"for"	"to"	"the"	"ancestral"	"faith"	"lack"	"force"	"and"	"authority"	"even"	"in"	"the"	"teenager"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"would"	"bank"	","	","	",_would"	"would_bank"	"bank_,"	"personally_,_would"	",_would_bank"	"would_bank_,"	"bank_,_insurance_firm"	"RB"	"ε"	"MD"	"VB"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bill"	"which"	"person"	"say"	"draft"	"personally"	"would"	"force"	"bank"	"insurance_firm"	"pipeline_company"	"and"	"corporation"	"to"	"report"	"such"	"property"	"to"	"the"	"state_treasurer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
