"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"1:04:00::"	"'s"	"at"	"tonight"	"location"	"tonight_'s"	"'s_at"	"at_location"	"in_tonight_'s"	"tonight_'s_at"	"'s_at_location"	"at_location_."	"IN"	"RB"	"POS"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"set_back"	"by"	"the"	"flu"	"season"	"will"	"start"	"against"	"his"	"former"	"group"	"mate"	"who"	"might"	"play"	"without"	"captain"	"person"	"in"	"tonight"	"game"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"'s"	"."	"wednesday"	"∅"	"wednesday_'s"	"'s_."	"._∅"	"for_wednesday_'s"	"wednesday_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"he"	"had"	"n't"	"decide"	"person"	"and"	"person"	"for"	"wednesday"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"schedule"	"with"	"at"	"with_a"	"a_schedule"	"schedule_at"	"today_with_a"	"with_a_schedule"	"a_schedule_at"	"schedule_at_4"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"was"	"to"	"be"	"action"	"again"	"today"	"with"	"a"	"game"	"schedule"	"at"	"against"	"group"	"at"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"open"	"∅"	"a"	"∅_the"	"the_open"	"open_a"	"∅_∅_the"	"∅_the_open"	"the_open_a"	"open_a_busy"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"game"	"open"	"a"	"busy"	"week"	"for"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"-"	"schedule"	"162"	","	"162_-"	"-_schedule"	"schedule_,"	"a_162_-"	"162_-_schedule"	"-_schedule_,"	"schedule_,_pitching"	"DT"	"CD"	"ε"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"opinion"	"continue"	"here"	"with"	"a"	"game"	"schedule"	"pitching"	"spread"	"thin"	"through"	"a"	"team"	"league"	"and"	"a"	"most"	"inviting"	"target"	"in"	"los_angeles"	"location"	"person"	"just"	"might"	"break"	"the"	"most"	"glamorous"	"record"	"on"	"the"	"book"	"person"	"homer"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"was"	"weather"	"click_off"	"weather_the"	"the_was"	"was_click_off"	"degree_weather_the"	"weather_the_was"	"the_was_click_off"	"was_click_off_in"	"NN"	"NN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"degree"	"the"	"game"	"was"	"click_off"	"in"	"thanks"	"to"	"only"	"three"	"base_on_balls"	"and"	"some"	"good"	"infield"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	","	"of"	"a"	"of_the"	"the_,"	",_a"	"single_of_the"	"of_the_,"	"the_,_a"	",_a_liner"	"NN"	"IN"	"DT"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"on"	"with"	"fourth"	"single"	"of"	"the"	"game"	"a"	"liner"	"to"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"second"	"against"	"his"	"a"	"his_second"	"second_against"	"against_a"	"win_his_second"	"his_second_against"	"second_against_a"	"against_a_single"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"tag"	"with"	"the"	"loss"	"his"	"second"	"no"	"victory"	"while"	"person"	"win"	"his"	"second"	"game"	"against"	"a"	"single"	"loss"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"12"	"."	"first"	"∅"	"first_12"	"12_."	"._∅"	"the_first_12"	"first_12_."	"12_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"get"	"only"	"six"	"hit"	"in"	"at-bat"	"for"	"batting"	"average"	"in"	"the"	"first"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"are"	"that"	"not"	"that_the"	"the_are"	"are_not"	"person_that_the"	"that_the_are"	"the_are_not"	"are_not_to"	"NNP"	"IN"	"DT"	"NN"	"VBP"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"denver-area"	"tv_audience"	"be"	"privileged"	"to"	"see"	"person"	"four"	"home_run"	"to"	"a"	"new"	"arrangement"	"make"	"by"	"person"	"that"	"the"	"game"	"are"	"not"	"to"	"be"	"black_out"	"when"	"his"	"group"	"are"	"play"	"at_home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"minor_league"	"in"	"or"	"any"	"or_minor_league"	"minor_league_in"	"in_any"	"major_league_or_minor_league"	"or_minor_league_in"	"minor_league_in_any"	"in_any_area"	"NN"	"CC"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rule"	"provide_for"	"a"	"blackout"	"of"	"televise"	"baseball"	"the"	"start"	"of"	"a"	"major_league"	"or"	"minor_league"	"game"	"in"	"any"	"area"	"come"	"from"	"the"	"game"	"top"	"ruler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"'s"	"from"	"top"	"from_the"	"the_'s"	"'s_top"	"come_from_the"	"from_the_'s"	"the_'s_top"	"'s_top_ruler"	"VB"	"VB"	"DT"	"NN"	"POS"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rule"	"provide_for"	"a"	"blackout"	"of"	"televise"	"baseball"	"before"	"the"	"start"	"a"	"major_league"	"or"	"minor_league"	"game"	"in"	"any"	"area"	"come"	"from"	"the"	"game"	"top"	"ruler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"when"	"were"	"''"	"cut_off"	"''_when"	"when_were"	"were_cut_off"	"group_''_when"	"''_when_were"	"when_were_cut_off"	"were_cut_off_."	"NNP"	"ε"	"WRB"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"couple"	"of"	"year"	"the"	"group"	"got_the_business"	"from"	"the"	"group"	"when"	"game"	"were"	"cut_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"end_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"dissatisfaction"	"lead"	"to"	"person"	"request"	"that"	"the"	"not"	"be"	"terminate"	"before"	"the"	"end"	"of"	"the"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"-"	"romp"	"5"	"over"	"5_-"	"-_romp"	"romp_over"	"a_5_-"	"5_-_romp"	"-_romp_over"	"romp_over_outclassed"	"DT"	"JJ"	"ε"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"powerful"	"new_york"	"group"	"win"	"world_series"	"in"	"a"	"game"	"romp"	"over"	"outclassed"	"group"	"crush"	"the"	"group"	"in"	"a"	"humiliating"	"barrage"	"monday"	"in"	"the"	"loosely"	"played"	"finale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"series"	"."	"a"	"∅"	"a_series"	"series_."	"._∅"	"in_a_series"	"a_series_."	"series_._∅"	"._∅_∅"	"RB"	"RB"	"NN"	"NN"	"ε"	"ε"	"ε"	"and"	"person"	"both"	"out_of_action"	"due_to"	"injury"	"the"	"group"	"champ"	"still"	"mount"	"a"	"hit"	"attack"	"against"	"a"	"parade"	"of"	"eight"	"group"	"pitcher"	"the"	"most"	"ever"	"use"	"by"	"one"	"team"	"in"	"a"	"series"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"fourteen"	"will"	"to"	"be"	"to_fourteen"	"fourteen_will"	"will_be"	"schedule_to_fourteen"	"to_fourteen_will"	"fourteen_will_be"	"will_be_discuss"	"NN"	"TO"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"formula"	"to"	"supply"	"player"	"for"	"the"	"new"	"group"	"the"	"problem"	"of"	"increase"	"the"	"schedule"	"to"	"fourteen"	"game"	"will"	"be"	"discuss"	"by"	"group"	"owner"	"at"	"a"	"meeting"	"at"	"the"	"group"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"two"	"against"	"plus"	"team"	"plus_two"	"two_against"	"against_team"	",_plus_two"	"plus_two_against"	"two_against_team"	"against_team_in"	"ε"	"CC"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"owner"	"would_like"	"each"	"club"	"in"	"the"	"fourteen"	"team"	"league"	"to"	"play"	"a"	"and"	"home"	"series"	"with"	"team"	"in"	"its"	"division"	"plus"	"two"	"game"	"against"	"team"	"in"	"the"	"division"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	","	"tie"	"and"	"tie_the"	"the_,"	",_and"	"person_tie_the"	"tie_the_,"	"the_,_and"	",_and_single"	"NNP"	"VB"	"DT"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"two"	"run"	"homer"	"by"	"person"	"a"	"solo_blast"	"by"	"person"	"tie"	"the"	"game"	"and"	"single"	"run"	"in"	"the"	"eighth"	"and"	"ninth"	"give"	"the"	"group"	"their"	"fifth"	"victory"	"in"	"eight"	"start"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"the"	"before"	"play"	"767"	"play_the"	"the_before"	"before_767"	"to_play_the"	"play_the_before"	"the_before_767"	"before_767_pay"	"TO"	"VB"	"DT"	"NN"	"IN"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"and"	"person"	"do"	"the"	"mound"	"chore"	"the"	"club"	"down"	"from"	"location"	"to"	"play"	"the"	"game"	"before"	"pay"	"customer"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
