"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"1:06:00::"	"her"	"she"	"leave"	"dig_into"	"leave_her"	"her_she"	"she_dig_into"	"she_leave_her"	"leave_her_she"	"her_she_dig_into"	"she_dig_into_her"	"PRP"	"VB"	"PRP$"	"NN"	"PRP"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"before"	"leave"	"her"	"room"	"she"	"dig_into"	"her"	"big"	"moire"	"bag"	"take_out"	"the"	"envelope"	"hold"	"her"	"marriage_contract"	"and"	"the"	"wax"	"seal"	"had"	"been"	"break"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"her"	"and"	"to"	"person"	"to_her"	"her_and"	"and_person"	"coffee_to_her"	"to_her_and"	"her_and_person"	"and_person_say"	"NN"	"TO"	"PRP$"	"NN"	"CC"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"go"	"downstairs"	"and"	"receive"	"another"	"curious"	"shock"	"for"	"when"	"person"	"flap"	"into"	"the"	"dining_room"	"her"	"homemade"	"moccasins"	"person"	"ask"	"her"	"when"	"she"	"had"	"bring"	"coffee"	"to"	"her"	"room"	"and"	"person"	"say"	"she"	"had"	"n't"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"low"	","	","	"like"	",_low"	"low_,"	",_like"	"long_,_low"	",_low_,"	"low_,_like"	",_like_a"	"JJ"	"ε"	"JJ"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"long"	"low"	"room"	"like"	"a"	"root_cellar"	"for"	"it"	"be"	"bank"	"up"	"with"	"soil"	"and"	"vine"	"had"	"run"	"rampant"	"over"	"that"	"too"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"from_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"have"	"the"	"opportunity"	"to"	"take"	"bottle"	"of"	"opium"	"from"	"person"	"room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"assembly"	"from"	"the"	"the"	"the_assembly"	"assembly_from"	"from_the"	"divide_the_assembly"	"the_assembly_from"	"assembly_from_the"	"from_the_business"	"VB"	"DT"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"as"	"he"	"pass"	"the"	"counter"	"that"	"divide"	"the"	"assembly"	"room"	"from"	"the"	"business"	"office"	"he"	"nod"	"and"	"say"	"good_night"	"to"	"the"	"station_keeper"	"and"	"his"	"clerk"	"not"	"stop"	"to"	"hear"	"the"	"day_watch"	"playback"	"of"	"his"	"chewing_out"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"from"	"enter"	"the"	"enter_the"	"the_from"	"from_the"	"person_enter_the"	"enter_the_from"	"the_from_the"	"from_the_hallway"	"NNP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"room"	"from"	"the"	"hallway"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"no"	"for"	"be"	"company"	"be_no"	"no_for"	"for_company"	"there_be_no"	"be_no_for"	"no_for_company"	"for_company_in"	"EX"	"VB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"no"	"room"	"for"	"company"	"in"	"the"	"tiny"	"weaning_house"	"where"	"the"	"person"	"boy"	"always"	"take"	"their"	"bride"	"till"	"they"	"could"	"get"	"a"	"house"	"and"	"a"	"farm"	"of"	"their"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"six"	"in"	"contain"	"the"	"contain_six"	"six_in"	"in_the"	"house_contain_six"	"contain_six_in"	"six_in_the"	"in_the_form"	"NN"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"yard"	"up"	"the"	"creek"	"be"	"cluster"	"of"	"mexican"	"house"	"contain"	"six"	"room"	"in"	"the"	"form"	"of"	"a"	"square"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"breakfast"	","	"the"	"with"	"the_breakfast"	"breakfast_,"	",_with"	"from_the_breakfast"	"the_breakfast_,"	"breakfast_,_with"	",_with_odds_and_ends"	"IN"	"DT"	"NN"	"NN"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this_evening"	"they"	"were"	"push"	"from"	"the"	"breakfast"	"room"	"with"	"odds_and_ends"	"of"	"dessert"	"distribute"	"over"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"by"	"into"	"person"	"into_the"	"the_by"	"by_person"	"gently_into_the"	"into_the_by"	"the_by_person"	"by_person_-"	"RB"	"IN"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"gently"	"into"	"the"	"room"	"by"	"person"	"whose"	"only"	"part"	"appear"	"be"	"hand"	"that"	"creep"	"quickly"	"back"	"around"	"to"	"the"	"kitchen"	"side"	"of"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	","	"number"	"hotel"	"nine"	"hotel_,"	",_number"	"number_nine"	"the_hotel_,"	"hotel_,_number"	",_number_nine"	"number_nine_,"	"DT"	"NN"	"ε"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"pay"	"the"	"bill"	"they"	"repair_to"	"the"	"hotel"	"room"	"number"	"nine"	"to"	"initiate"	"person"	"further"	"into"	"these"	"undertaking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	","	"enter"	"the"	"enter_his"	"his_,"	",_the"	"person_enter_his"	"enter_his_,"	"his_,_the"	",_the_doctor"	"NNP"	"VB"	"PRP$"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"enter"	"his"	"room"	"the"	"doctor"	"was"	"already"	"prepare"	"a"	"nest"	"in"	"the"	"straw"	"case"	"six"	"egg"	"ready"	"for"	"the"	"hen"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"this"	","	"precisely"	"and"	"precisely_this"	"this_,"	",_and"	"in_precisely_this"	"precisely_this_,"	"this_,_and"	",_and_hear"	"IN"	"RB"	"DT"	"NN"	"ε"	"CC"	"VB"	"his"	"lecture"	"refer"	"to"	"the"	"startling"	"experience"	"which"	"almost"	"every"	"person"	"confess"	"in"	"daylight"	"that"	"particular"	"passage"	"of"	"conversation"	"and"	"action"	"have"	"occur"	"to"	"him"	"in"	"the"	"same"	"order"	"before"	"whether"	"dream"	"or"	"wake"	"a"	"suspicion"	"that"	"they"	"have"	"be"	"with"	"precisely"	"these"	"person"	"in"	"precisely"	"this"	"and"	"hear"	"precisely"	"this"	"dialogue"	"at"	"some"	"former"	"hour"	"they"	"know"	"not"	"when"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'"	","	"parent"	"he"	"parent_'"	"'_,"	",_he"	"his_parent_'"	"parent_'_,"	"'_,_he"	",_he_see"	"PRP$"	"NN"	"ε"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"sit"	"at"	"the"	"front"	"in"	"his"	"parent"	"room"	"he"	"see"	"person"	"come_out"	"of"	"her"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"be"	"here"	"there"	"''"	"there_be"	"be_here"	"here_''"	"at_least_there_be"	"there_be_here"	"be_here_''"	"here_''_,"	"RB"	"EX"	"VB"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_least"	"be"	"room"	"here"	"she"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"and"	"in"	"usually"	"in_his"	"his_and"	"and_usually"	"stay_in_his"	"in_his_and"	"his_and_usually"	"and_usually_in"	"VB"	"IN"	"PRP$"	"NN"	"CC"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"continue"	"most"	"of"	"the"	"week"	"following"	"that"	"ill-starred"	"to"	"church"	"during"	"which"	"period"	"person"	"stay"	"in"	"his"	"room"	"and"	"usually"	"in"	"a"	"trance"	"so"	"deep"	"that"	"person"	"would"	"have"	"pronounce"	"him"	"dead"	"had"	"he"	"not"	"see"	"it"	"before"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"buggy"	"."	"the"	"∅"	"the_buggy"	"buggy_."	"._∅"	"into_the_buggy"	"the_buggy_."	"buggy_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"run"	"out"	"into"	"the"	"downpour"	"speed"	"the"	"yard"	"and"	"into"	"the"	"buggy"	"room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	","	"up"	"and"	"up_the"	"the_,"	",_and"	"straighten_up_the"	"up_the_,"	"the_,_and"	",_and_then"	"VB"	"VB"	"DT"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"dim"	"underwater"	"light"	"dress"	"and"	"straighten"	"up"	"the"	"room"	"and"	"then"	"they"	"go"	"across"	"the"	"hall"	"to"	"the"	"kitchen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
