"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:41:00::"	"the_birds"	"spring_training"	"year"	"with"	"year_the_birds"	"the_birds_spring_training"	"spring_training_with"	"last_year_the_birds"	"year_the_birds_spring_training"	"the_birds_spring_training_with"	"spring_training_with_a_lot_of"	"JJ"	"NN"	"NN"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"just"	"richard"	"way"	"say"	"that"	"last"	"year"	"the_birds"	"open"	"spring_training"	"with"	"a_lot_of"	"jobs"	"wide_open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"relations"	"instrumental"	"between"	"instrumental_in"	"in_relations"	"relations_between"	"be_instrumental_in"	"instrumental_in_relations"	"in_relations_between"	"relations_between_the"	"VB"	"JJ"	"IN"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_only"	"be"	"mr._frelinghuysen"	"a"	"member"	"of"	"the"	"house_foreign_affairs_committee"	"but"	"he"	"the"	"grandson"	"of"	"the"	"man"	"who"	"be"	"instrumental"	"in"	"open"	"relations"	"between"	"the"	"united_states"	"and"	"korea"	"frederick_t._frelinghuysen"	"secretary_of_state"	"in"	"the"	"administration"	"of"	"chester_a._arthur"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:06::"	"were"	"unto"	"heavens"	"him"	"heavens_were"	"were_unto"	"unto_him"	"the_heavens_were"	"heavens_were_unto"	"were_unto_him"	"unto_him_,"	"DT"	"NNS"	"VBD"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"jesus"	"when"	"he"	"was"	"baptize"	"go_up"	"straightway"	"out"	"of"	"water"	"and"	"lo"	"the"	"heavens"	"were"	"open"	"unto"	"him"	"and"	"he"	"see"	"the"	"spirit"	"of"	"god"	"descend"	"like"	"a"	"dove"	"and"	"light"	"upon"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"for"	"complete"	"traffic"	"complete_and"	"and_for"	"for_traffic"	"∅_complete_and"	"complete_and_for"	"and_for_traffic"	"for_traffic_in"	"ε"	"VB"	"CC"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"open"	"for"	"traffic"	"in"	"the"	"bridge"	"was"	"design"	"and"	"build"	"by"	"lemuel_chenoweth"	"and"	"his"	"brother"	"eli"	"of"	"beverly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"home"	"symphony"	"home_to"	"to_the"	"the_symphony"	"return_home_to"	"home_to_the"	"to_the_symphony"	"the_symphony_'s"	"VB"	"RB"	"TO"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enrique_jorda"	"conductor"	"and"	"musical"	"director"	"of"	"the"	"san_francisco"	"symphony"	"will"	"fulfill"	"more"	"guest"	"conducting"	"engagements"	"in"	"europe"	"before"	"return"	"home"	"to"	"open"	"the"	"symphony"	"golden_anniversary"	"season"	"it"	"was"	"announce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"which"	"a"	","	"series"	",_which"	"which_a"	"a_series"	"leningrad_kirov_ballet_,_which"	",_which_a"	"which_a_series"	"a_series_of"	"NNP"	"ε"	"WDT"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"which"	"open"	"a"	"series"	"of"	"performances"	"friday"	"night"	"at"	"the"	"opera_house"	"be"	"i"	"think"	"the"	"finest"	"classical"	"ballet_company"	"i"	"have"	"ever"	"see"	"and"	"the"	"production"	"of"	"the"	"petipa-tschaikowsky"	"sleeping_beauty"	"with"	"which"	"it"	"begin"	"the"	"series"	"be"	"incomparably"	"the"	"finest"	"i"	"have"	"ever"	"have"	"the"	"pleasure"	"of"	"witness"	
"2:41:00::"	"will"	"at"	"season"	"the"	"season_will"	"will_at"	"at_the"	"the_season_will"	"season_will_at"	"will_at_the"	"at_the_new"	"DT"	"NN"	"MD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"will"	"open"	"at"	"the"	"new"	"hall"	"of"	"flowers"	"in"	"golden_gate"	"park"	"on"	"november"	"at"	"p."	"m."	"with"	"a"	"concert"	"by"	"the"	"mills_chamber"	"players"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"congress"	"in"	"communist_party"	"moscow"	"communist_party_congress"	"congress_in"	"in_moscow"	"soviet_communist_party_congress"	"communist_party_congress_in"	"congress_in_moscow"	"in_moscow_today"	"JJ"	"NN"	"NNP"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"twenty-second"	"communist_party"	"congress"	"open"	"in"	"moscow"	"today"	"in"	"a"	"situation"	"contrast"	"sharply"	"with"	"the"	"script"	"prepare"	"many"	"months"	"ago"	"when"	"this"	"meeting"	"was"	"first"	"announce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"not"	"your"	"why"	"heart"	"why_not"	"not_your"	"your_heart"	"∅_why_not"	"why_not_your"	"not_your_heart"	"your_heart_to"	"ε"	"WRB"	"RB"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"open"	"your"	"heart"	"to"	"the"	"lord"	"jesus_christ"	"now"	"accept"	"him"	"as"	"your"	"saviour"	"and"	"let"	"him"	"fill"	"you"	"with"	"peace"	"that"	"only"	"he"	"can"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"''"	"the"	"nothing"	"season"	"nothing_''"	"''_the"	"the_season"	"about_nothing_''"	"nothing_''_the"	"''_the_season"	"the_season_of"	"IN"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shakespeare"	"have"	"a"	"word"	"for"	"everything"	"even"	"for"	"the"	"rain"	"disrupt"	"wednesday"	"night"	"much"	"ado"	"about"	"nothing"	"open"	"the"	"season"	"of"	"free"	"theatre"	"in"	"central_park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"jan."	"there"	"22"	"there_,"	",_jan."	"jan._22"	"appearances_there_,"	"there_,_jan."	",_jan._22"	"jan._22_."	"NNS"	"EX"	"ε"	"VB"	"NNP"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"living_room"	"have"	"another"	"scoop"	"jane_russell"	"will"	"make"	"one"	"her"	"rare"	"night"	"club"	"singing"	"appearances"	"there"	"open"	"jan."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"at"	"flicker"	"popular"	"flicker_,"	",_at"	"at_popular"	"italian_flicker_,"	"flicker_,_at"	",_at_popular"	"at_popular_prices"	"JJ"	"NN"	"ε"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"la_dolce_vita"	"the"	"dynamite"	"italian"	"open"	"at"	"popular"	"prices"	"at"	"the"	"loop"	"theater"	"nov."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	","	"a"	"headquarters"	"three-week"	"headquarters_,"	",_a"	"a_three-week"	"its_headquarters_,"	"headquarters_,_a"	",_a_three-week"	"a_three-week_engagement"	"PRP$"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"polish"	"song_and_dance"	"company"	"called"	"mazowsze"	"after"	"the"	"region"	"poland"	"where"	"it"	"have"	"its"	"headquarters"	"open"	"a"	"three-week"	"engagement"	"at"	"the"	"city_center"	"last"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"being"	"but"	"were"	"they"	"were_being"	"being_but"	"but_they"	"government_offices_were_being"	"were_being_but"	"being_but_they"	"but_they_were"	"NN"	"VBD"	"VBG"	"VB"	"CC"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"were"	"being"	"open"	"but"	"they"	"were"	"n't"	"being"	"open"	"fast"	"enough"	"and"	"meanwhile"	"the"	"cold"	"penetrate"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"being"	"fast"	"n't"	"enough"	"n't_being"	"being_fast"	"fast_enough"	"were_n't_being"	"n't_being_fast"	"being_fast_enough"	"fast_enough_and"	"VBD"	"RB"	"VBG"	"VB"	"RB"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"government_offices"	"were"	"being"	"but"	"they"	"were"	"n't"	"being"	"open"	"fast"	"enough"	"and"	"meanwhile"	"the"	"cold"	"penetrate"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"cafe_society"	"formally"	"∅"	"this"	"∅_cafe_society"	"cafe_society_formally"	"formally_this"	"∅_∅_cafe_society"	"∅_cafe_society_formally"	"cafe_society_formally_this"	"formally_this_afternoon"	"ε"	"ε"	"NNP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"open"	"formally"	"this"	"afternoon"	"under"	"its"	"new"	"ownership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"some"	"set"	"time"	"set_to"	"to_some"	"some_time"	"bimini_set_to"	"set_to_some"	"to_some_time"	"some_time_this"	"NNP"	"VB"	"TO"	"VB"	"DT"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mackey_airline"	"new"	"sunshine_inn"	"bimini"	"set"	"to"	"open"	"some"	"time"	"this"	"month"	"according"	"to"	"hank_johnson"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"trial"	"."	"the"	"∅"	"the_trial"	"trial_."	"._∅"	"before_the_trial"	"the_trial_."	"trial_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"the"	"case"	"go"	"to"	"the"	"jury"	"the"	"judge"	"excuse"	"one"	"of"	"the"	"jurors"	"say"	"the"	"juror"	"had"	"tell"	"him"	"he"	"had"	"been"	"accost"	"by"	"masked"	"men"	"at"	"his"	"motel"	"night"	"before"	"the"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
