"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"4:02:02::"	"be"	"memorable"	"none"	"as"	"none_be"	"be_memorable"	"memorable_as"	"volume_none_be"	"none_be_memorable"	"be_memorable_as"	"memorable_as_``"	"NN"	"NN"	"VB"	"RB"	"JJ"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"long"	"piece"	"the"	"volume"	"none"	"be"	"so"	"memorable"	"as"	"nameless_and_immortal"	"which"	"at_once"	"took"	"rank"	"among"	"the"	"finest"	"poem"	"ever"	"written"	"in"	"the"	"swedish"	"language"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"fill"	"∅"	"be"	"∅_∅"	"∅_fill"	"fill_be"	"∅_∅_∅"	"∅_∅_fill"	"∅_fill_be"	"fill_be_person"	"ε"	"ε"	"ε"	"RB"	"VB"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fill"	"be"	"person"	"with"	"the"	"spirit"	"of"	"location"	"that"	"after"	"korea"	"be"	"over"	"he"	"take_on"	"the"	"job"	"of"	"write"	"the"	"complete"	"history"	"of"	"the"	"regiment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"mania"	"deadly"	"nazi"	"to"	"nazi_mania"	"mania_deadly"	"deadly_to"	"special_nazi_mania"	"nazi_mania_deadly"	"mania_deadly_to"	"deadly_to_jew"	"JJ"	"JJ"	"NN"	"RB"	"JJ"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"the"	"trial"	"did"	"expose"	"the"	"special"	"nazi"	"mania"	"so"	"deadly"	"to"	"jew"	"as_well_as"	"to"	"anyone"	"upon"	"whom"	"it"	"happen"	"to"	"light"	"neither"	"did"	"it"	"warn"	"very"	"effectively"	"against"	"the"	"ordinary"	"anti-semitism"	"of"	"which"	"the"	"nazi"	"make"	"such"	"effective"	"use"	"in"	"germany"	"and"	"wherever"	"else"	"they"	"could"	"find"	"it"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"corporation"	"that"	"upon"	"their"	"upon_corporation"	"corporation_that"	"that_their"	"control_upon_corporation"	"upon_corporation_that"	"corporation_that_their"	"that_their_activity"	"NN"	"IN"	"NN"	"RB"	"RB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hence"	"government"	"must"	"great"	"control"	"upon"	"corporation"	"so"	"that"	"their"	"activity"	"promote"	"what"	"is"	"deem"	"essential"	"to"	"the"	"national"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	","	"hard"	"stomach"	"that"	"stomach_,"	",_hard"	"hard_that"	"the_stomach_,"	"stomach_,_hard"	",_hard_that"	"hard_that_the"	"DT"	"NN"	"ε"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slug"	"him"	"the"	"stomach"	"so"	"hard"	"that"	"the"	"organ"	"almost"	"press"	"against"	"his"	"spine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"at_one_time"	"that"	"on_leave"	"your"	"on_leave_at_one_time"	"at_one_time_that"	"that_your"	"people_on_leave_at_one_time"	"on_leave_at_one_time_that"	"at_one_time_that_your"	"that_your_total"	"NN"	"JJ"	"RB"	"RB"	"RB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"careful"	"to"	"restrict"	"number"	"of"	"people"	"on_leave"	"at_one_time"	"so"	"that"	"your"	"total"	"employment"	"obligation"	"be"	"minimized"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"flexible"	"skilled"	"age"	"craftsman"	"age_flexible"	"flexible_skilled"	"skilled_craftsman"	"retirement_age_flexible"	"age_flexible_skilled"	"flexible_skilled_craftsman"	"skilled_craftsman_such_as"	"NN"	"NN"	"JJ"	"RB"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keep"	"the"	"age"	"flexible"	"so"	"skilled"	"craftsman"	"such_as"	"tool"	"and"	"die"	"maker"	"can"	"be"	"keep"	"on_the_job"	"for"	"the"	"convenience"	"of"	"the"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"do"	"at"	"blockade"	"their"	"blockade_do"	"do_at"	"at_their"	"to_blockade_do"	"blockade_do_at"	"do_at_their"	"at_their_own"	"TO"	"NN"	"VB"	"RB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"these"	"condition"	"of"	"international_law"	"are"	"meet"	"that"	"try"	"to"	"run"	"to"	"blockade"	"do"	"so"	"at"	"their"	"own"	"risk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"person"	"very"	"be"	"soon"	"be_person"	"person_very"	"very_soon"	"would_be_person"	"be_person_very"	"person_very_soon"	"very_soon_now"	"MD"	"VB"	"NNP"	"RB"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"who"	"be"	"person"	"so"	"very"	"soon"	"now"	"ring_up"	"her"	"first"	"sale"	"of"	"the"	"day"	"and"	"count"	"back"	"the"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:true:00"	"be"	","	"might"	"but"	"might_be"	"be_,"	",_but"	"this_might_be"	"might_be_,"	"be_,_but"	",_but_find"	"DT"	"MD"	"VB"	"JJ"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"grant"	"might"	"be"	"so"	"but"	"find"	"the"	"result"	"to"	"be"	"even"	"more"	"attention"	"to"	"form"	"than"	"be"	"the"	"case"	"previously"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	","	"often"	"fact"	"overlooked"	"fact_,"	",_often"	"often_overlooked"	"the_fact_,"	"fact_,_often"	",_often_overlooked"	"often_overlooked_,"	"DT"	"NN"	"ε"	"RB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"of"	"the"	"fact"	"so"	"often"	"overlooked"	"that"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	","	"that"	"reverse"	"the"	"reverse_,"	",_that"	"that_the"	"are_reverse_,"	"reverse_,_that"	",_that_the"	"that_the_wife"	"VBP"	"VB"	"ε"	"RB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"role"	"of"	"husband"	"wife"	"are"	"reverse"	"so"	"that"	"the"	"wife"	"become"	"leader"	"and"	"the"	"husband"	"follower"	"person"	"say"	"the"	"effect"	"on"	"their"	"whole"	"relationship"	"sexual"	"and"	"otherwise"	"be"	"disastrous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
