"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"3:00:00::"	"avocado"	"any"	"of"	"place"	"of_avocado"	"avocado_any"	"any_place"	"shipping_of_avocado"	"of_avocado_any"	"avocado_any_place"	"any_place_in"	"NN"	"IN"	"NN"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"refrigerated"	"carrier"	"have"	"the"	"shipping"	"of"	"avocado"	"possible"	"any"	"place"	"in"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"may"	"as"	"develop"	"as_,"	",_may"	"may_develop"	"clear_as_,"	"as_,_may"	",_may_develop"	"may_develop_this"	"JJ"	"IN"	"ε"	"PRP"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order"	"to"	"make"	"the"	"implication"	"our"	"position"	"clear"	"as"	"possible"	"may"	"develop"	"this"	"argument"	"at"	"greater"	"length"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"make"	"it"	"estimate"	"it_be"	"be_make"	"make_estimate"	"∅_it_be"	"it_be_make"	"be_make_estimate"	"make_estimate_of"	"ε"	"PRP"	"VB"	"TO"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"possible"	"make"	"estimate"	"of"	"the"	"quantum"	"yield"	"by"	"observe"	"the"	"extent"	"of"	"reduction"	"of"	"a"	"uranyl_oxalate"	"actinometer"	"solution"	"illuminate"	"for"	"a"	"known"	"time"	"in"	"a"	"typical"	"reaction"	"cell"	"and"	"make"	"appropriate"	"conversion"	"base"	"on"	"the"	"difference"	"in"	"the"	"absorption_spectrum"	"of"	"uranyl_oxalate"	"and"	"of"	"chlorine"	"and"	"consider"	"the"	"spectral"	"distribution"	"of"	"the"	"light"	"source"	
"3:00:00::"	"as"	"the"	"soon"	"cause"	"soon_as"	"as_the"	"the_cause"	"as_soon_as"	"soon_as_the"	"as_the_cause"	"the_cause_and"	"RB"	"RB"	"RB"	"IN"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"project"	"soon"	"as"	"possible"	"the"	"cause"	"and"	"prevention"	"of"	"dependency"	"and"	"illegitimacy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"i"	"it"	"over"	"it_be"	"be_i"	"i_over"	"``_it_be"	"it_be_i"	"be_i_over"	"i_over_correct"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"possible"	"i"	"over"	"correct"	"he"	"say"	"ruefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"make"	"it"	"a_few"	"it_be"	"be_make"	"make_a_few"	"∅_it_be"	"it_be_make"	"be_make_a_few"	"make_a_few_generalization"	"ε"	"PRP"	"VB"	"TO"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"possible"	"make"	"a_few"	"generalization"	"about"	"the"	"six"	"giant"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"especially"	"it"	"large"	"it_be"	"be_especially"	"especially_large"	"∅_it_be"	"it_be_especially"	"be_especially_large"	"especially_large_anaconda"	"ε"	"PRP"	"VB"	"IN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"possible"	"especially"	"large"	"anaconda"	"will"	"prove"	"to"	"belong_to"	"subspecies"	"limit"	"to"	"a"	"small"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"the"	"∅"	"morning"	"∅_∅"	"∅_the"	"the_morning"	"∅_∅_∅"	"∅_∅_the"	"∅_the_morning"	"the_morning_following"	"ε"	"ε"	"ε"	"IN"	"DT"	"NN"	"VBG"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"morning"	"following"	"the"	"location"	"meeting"	"the"	"editor"	"of"	"the"	"group"	"write"	"that"	"although"	"the"	"meeting"	"be"	"mild"	"and"	"less"	"extreme"	"than"	"those"	"hold"	"in"	"area"	"for"	"similar"	"purpose"	"it"	"could"	"have"	"been"	"avoid"	"completely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"certain"	"it"	"mutational"	"it_be"	"be_certain"	"certain_mutational"	"∅_it_be"	"it_be_certain"	"be_certain_mutational"	"certain_mutational_form"	"ε"	"PRP"	"VB"	"IN"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"possible"	"certain"	"mutational"	"form"	"may"	"be"	"produce"	"such_as"	"antibiotic"	"resistant"	"strain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"it"	"poet"	"make"	"to"	"make_it"	"it_poet"	"poet_to"	"group_make_it"	"make_it_poet"	"it_poet_to"	"poet_to_be"	"NNP"	"VB"	"VB"	"IN"	"NN"	"TO"	"VB"	"for"	"those"	"who"	"like"	"poetry"	"but"	"never"	"get_around_to"	"read"	"it"	"the"	"group"	"make"	"possible"	"poet"	"to"	"be"	"hear"	"read"	"their"	"own"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"make"	"comparison"	"to"	"of"	"to_make"	"make_comparison"	"comparison_of"	"adopt_to_make"	"to_make_comparison"	"make_comparison_of"	"comparison_of_result"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"international"	"unit"	"u"	"adopt"	"make"	"possible"	"comparison"	"of"	"result"	"from"	"different"	"laboratory"	"person"	"and"	"person"	"has"	"been"	"define"	"as"	"the"	"amount"	"of"	"activity"	"present"	"in"	"mg"	"of"	"the"	"international_standard_preparation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"get"	"would"	"sufficient"	"would_be"	"be_get"	"get_sufficient"	"it_would_be"	"would_be_get"	"be_get_sufficient"	"get_sufficient_water"	"PRP"	"MD"	"VB"	"TO"	"VB"	"JJ"	"NN"	"surveying"	"was"	"do"	"under"	"person"	"on"	"the"	"east"	"mountain"	"to"	"ascertain"	"if"	"would"	"possible"	"get"	"sufficient"	"water"	"and"	"fall"	"to"	"operate"	"an"	"electric"	"power_plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
