"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:38:01::"	"having"	"out"	"for"	"the"	"for_having"	"having_out"	"out_the"	"himself_for_having"	"for_having_out"	"having_out_the"	"out_the_last"	"PRP"	"IN"	"VBG"	"VB"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"curse"	"for"	"having"	"ride"	"out"	"the"	"last"	"few"	"day"	"without"	"a"	"rifle"	"in"	"his"	"saddle"	"boot"	"person"	"draw"	"his"	"colt"	"and"	"examine"	"it"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"they"	"in"	"that"	"an"	"that_they"	"they_in"	"in_an"	"so_that_they"	"that_they_in"	"they_in_an"	"in_an_hour"	"RB"	"RB"	"PRP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"time"	"so"	"that"	"they"	"ride"	"in"	"an"	"hour"	"after"	"nightfall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"he"	"to"	","	"the"	",_he"	"he_to"	"to_the"	"person_,_he"	",_he_to"	"he_to_the"	"to_the_location"	"NNP"	"ε"	"PRP"	"VB"	"TO"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"he"	"ride"	"to"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"they"	"to"	"∅"	"the"	"∅_they"	"they_to"	"to_the"	"∅_∅_they"	"∅_they_to"	"they_to_the"	"to_the_location"	"ε"	"ε"	"PRP"	"VB"	"TO"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ride"	"to"	"the"	"location"	"a_little"	"far"	"along"	"the"	"opposite"	"side"	"of"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"through"	"horse"	"the"	"horse_,"	",_through"	"through_the"	"their_horse_,"	"horse_,_through"	",_through_the"	"through_the_rain"	"PRP$"	"NN"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"return"	"to"	"the"	"mount"	"their"	"horse"	"ride"	"through"	"the"	"rain"	"to"	"the"	"big"	"house"	"on"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"never"	"in"	"had"	"a"	"had_never"	"never_in"	"in_a"	"person_had_never"	"had_never_in"	"never_in_a"	"in_a_cadillac"	"NNP"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"really"	"no"	"reason"	"refuse"	"and"	"person"	"had"	"never"	"ride"	"in"	"a"	"cadillac"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"come"	"down"	"officer"	"the"	"officer_come"	"come_down"	"down_the"	"another_officer_come"	"officer_come_down"	"come_down_the"	"down_the_side"	"DT"	"NN"	"VB"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"front"	"of"	"their"	"column"	"had"	"pass"	"us"	"when"	"another"	"officer"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"person"	"to"	"and"	"arrest"	"and_person"	"person_to"	"to_arrest"	"person_and_person"	"and_person_to"	"person_to_arrest"	"to_arrest_person"	"NNP"	"CC"	"NNP"	"VB"	"TO"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"week"	"later"	"following"	"recovery"	"armed"	"with"	"a"	"writ"	"issue"	"by"	"the"	"location"	"justice"	"affidavit"	"prepare"	"by"	"the"	"district_attorney"	"person"	"and"	"person"	"ride"	"to"	"arrest"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"person"	"to"	"the"	"break"	"the_person"	"person_to"	"to_break"	"and_the_person"	"the_person_to"	"person_to_break"	"to_break_a"	"CC"	"DT"	"NNP"	"VB"	"TO"	"VB"	"DT"	"which"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"last"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"the"	"person"	"to"	"break"	"a"	"lance"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"i"	"him"	"liquor"	"pretty"	"liquor_i"	"i_him"	"him_pretty"	"in_liquor_i"	"liquor_i_him"	"i_him_pretty"	"him_pretty_hard"	"IN"	"NN"	"PRP"	"VB"	"PRP"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"i"	"in"	"liquor"	"i"	"ride"	"him"	"pretty"	"hard"	"i"	"guess"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"they"	"around"	"∅"	"and"	"∅_they"	"they_around"	"around_and"	"∅_∅_they"	"∅_they_around"	"they_around_and"	"around_and_around"	"ε"	"ε"	"PRP"	"VB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ride"	"around"	"and"	"around"	"to"	"trample"	"the"	"figure"	"into"	"the"	"sand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"on"	"take"	"this"	"take_a"	"a_on"	"on_this"	"``_take_a"	"take_a_on"	"a_on_this"	"on_this_one"	"ε"	"VB"	"DT"	"NN"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take"	"ride"	"on"	"this"	"one"	"person"	"greet"	"person"	"as"	"the"	"group"	"third_sacker"	"grab"	"a"	"bat"	"head"	"for"	"the"	"plate"	"and"	"bounce"	"a"	"third"	"inning"	"two"	"run"	"double"	"off"	"the"	"left"	"centerfield"	"wall"	"tonight"	
"2:38:01::"	"been"	"out"	"had"	"every"	"had_been"	"been_out"	"out_every"	"person_had_been"	"had_been_out"	"been_out_every"	"out_every_evening"	"NNP"	"VBD"	"VBN"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"been"	"ride"	"out"	"every"	"evening"	"on"	"some"	"secret"	"business"	"of"	"his"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
