"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"
"2:39:00::"	"had"	"``"	"it"	"over"	"it_had"	"had_``"	"``_over"	"until_it_had"	"it_had_``"	"had_``_over"	"``_over_the"	"IN"	"PRP"	"VBD"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"audience"	"would"	"n't"	"her"	"leave"	"until"	"it"	"had"	"hear"	"over"	"the"	"rainbow"	"although"	"the"	"fellow"	"that"	"keep"	"cry"	"for"	"get_happy"	"had_to"	"go_home"	"unhappy"	"about"	"that"	"item"	"anyway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	","	"way"	"and"	"way_to"	"to_,"	",_and"	"long_way_to"	"way_to_,"	"to_,_and"	",_and_it"	"JJ"	"NN"	"TO"	"VB"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"put_on"	"local"	"musicians"	"at_this_place"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"being"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"seldom"	"old"	"such"	"oldies"	"such_seldom"	"seldom_old"	"old_oldies"	"consist_of_such_seldom"	"such_seldom_old"	"seldom_old_oldies"	"old_oldies_as"	"VB"	"JJ"	"RB"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"julie_wilson"	"a"	"vigorous"	"vocalist"	"without"	"many"	"wild"	"twists"	"sing"	"a"	"a"	"large"	"part"	"of_which"	"consist_of"	"such"	"seldom"	"hear"	"old"	"oldies"	"as"	"hard-hearted_hannah"	"the"	"vamp"	"of"	"savannah"	"and"	"the"	"delightful"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"music"	"newport"	"rather_than"	"newport_to"	"to_music"	"music_rather_than"	"to_newport_to"	"newport_to_music"	"to_music_rather_than"	"music_rather_than_go"	"VB"	"NNP"	"TO"	"VB"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"very"	"casual"	"pleasant"	"program"	"one"	"of"	"those"	"easy-going"	"things"	"that"	"make"	"newport"	"afternoon"	"programs"	"such"	"a"	"relaxing"	"delight"	"was"	"hold"	"again"	"under"	"sunny"	"skies"	"hot"	"sun"	"and"	"a"	"fresh_breeze"	"for"	"an"	"audience"	"of"	"a_couple_of"	"thousands"	"who"	"come"	"to"	"newport"	"to"	"hear"	"music"	"rather_than"	"go"	"to"	"the"	"beach"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"a"	")"	"singer"	")_to"	"to_a"	"a_singer"	"or_)_to"	")_to_a"	"to_a_singer"	"a_singer_``"	"CC"	"ε"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"no"	"common"	"thing"	"for"	"listener"	"critical"	"or"	"to"	"hear"	"a"	"singer"	"live"	"for_the_first_time"	"only"	"after"	"he"	"has"	"die"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"they"	"elman"	"that"	"."	"that_they"	"they_elman"	"elman_."	"grandchildren_that_they"	"that_they_elman"	"they_elman_."	"elman_._∅"	"NNS"	"IN"	"PRP"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"persons"	"at"	"the"	"stadium"	"can"	"tell"	"their"	"grandchildren"	"that"	"they"	"hear"	"elman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"be"	"from"	"could"	"the"	"could_be"	"be_from"	"from_the"	"pain_could_be"	"could_be_from"	"be_from_the"	"from_the_wounded"	"NN"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"order"	"to"	"abandon"	"ship"	"was"	"but"	"cries"	"of"	"pain"	"could"	"be"	"hear"	"from"	"the"	"wounded"	"below"	"decks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"would"	","	"who"	"who"	"who_would"	"would_,"	",_who"	",_who_would"	"who_would_,"	"would_,_who"	",_who_would"	"ε"	"WP"	"MD"	"VB"	"ε"	"WP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"could"	"not"	"scream"	"for"	"even"	"if"	"a"	"sound"	"take_shape"	"within"	"her"	"parched"	"mouth"	"who"	"would"	"hear"	"who"	"would"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"the"	"be"	"librarian"	"be_to"	"to_the"	"the_librarian"	"it_be_to"	"be_to_the"	"to_the_librarian"	"the_librarian_say"	"PRP"	"VB"	"TO"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"library"	"borrower"	"or"	"at_least"	"those"	"whose"	"taste"	"go"	"beyond"	"five-cent"	"fiction"	"rentals"	"know"	"what"	"it"	"be"	"to"	"hear"	"the"	"librarian"	"say"	"apologetically"	"i"	"be"	"sorry"	"but"	"we"	"do"	"n't"	"have"	"that"	"book"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"seldom"	"mention"	"have"	"."	"have_seldom"	"seldom_mention"	"mention_."	"i_have_seldom"	"have_seldom_mention"	"seldom_mention_."	"mention_._∅"	"PRP"	"VB"	"RB"	"VB"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"thing"	"i"	"notice"	"i"	"have"	"seldom"	"hear"	"mention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
