"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"1:23:00::"	"the"	"and"	"tie"	"person"	"tie_the"	"the_and"	"and_person"	"-_tie_the"	"tie_the_and"	"the_and_person"	"and_person_'s"	"ε"	"VB"	"DT"	"NN"	"CC"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"in"	"the"	"fourth"	"his"	"fourth"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"and"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"run"	"two-baser"	"'s"	","	"'s_run"	"run_two-baser"	"two-baser_,"	"person_'s_run"	"'s_run_two-baser"	"run_two-baser_,"	"two-baser_,_an"	"NNP"	"POS"	"NN"	"VB"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"double"	"by"	"person"	"run"	"score"	"two-baser"	"an"	"infield"	"single"	"by"	"person"	"and"	"person"	"solid"	"single"	"to"	"center"	"put"	"the"	"group"	"back"	"in_front"	"in"	"the"	"last"	"of"	"the"	"fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"-"	"year"	"2"	"milestone"	"2_-"	"-_year"	"year_milestone"	"the_2_-"	"2_-_year"	"-_year_milestone"	"year_milestone_."	"DT"	"JJ"	"ε"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"a"	"real"	"stimulant"	"to"	"a_lot"	"of"	"i"	"know"	"who"	"have"	"move"	"past"	"the"	"score"	"year"	"milestone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"the"	"be"	"time"	"11"	"time_the"	"the_be"	"be_11"	"that_time_the"	"time_the_be"	"the_be_11"	"be_11_-"	"IN"	"NN"	"DT"	"NN"	"VB"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"fifth"	"person"	"slash"	"a"	"run"	"homer"	"off"	"but"	"by"	"that"	"time"	"the"	"score"	"be"	"and"	"it"	"really"	"did"	"n't"	"matter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"an"	"heyday"	"11"	"heyday_and"	"and_an"	"an_11"	"his_heyday_and"	"heyday_and_an"	"and_an_11"	"an_11_in"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"from"	"the"	"standpoint"	"of"	"the"	"army"	"of"	"duffer"	"however"	"this"	"be"	"easily"	"the"	"most"	"heartening"	"exhibition"	"they"	"had"	"have"	"since"	"person"	"fall"	"upon"	"evil"	"way"	"during"	"heyday"	"and"	"score"	"an"	"in"	"the"	"texas_open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"he"	"a"	"∅"	"4"	"∅_he"	"he_a"	"a_4"	"∅_∅_he"	"∅_he_a"	"he_a_4"	"a_4_for"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"score"	"a"	"for"	"the"	"embedded"	"ball"	"a"	"with"	"the"	"provisional"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"of"	"be"	"man"	"be_a"	"a_of"	"of_man"	"there_be_a"	"be_a_of"	"a_of_man"	"of_man_in"	"EX"	"VB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"sympathy"	"or"	"admiration"	"for"	"person"	"could"	"be"	"find"	"in"	"group"	"for"	"the"	"editor"	"claim"	"that"	"there"	"be"	"a"	"score"	"of"	"man"	"in"	"the"	"state_prison"	"who"	"be"	"a_thousand"	"time"	"more"	"deserving"	"of"	"sympathy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"this"	"."	"on"	"∅"	"on_this"	"this_."	"._∅"	"uncertain_on_this"	"on_this_."	"this_._∅"	"._∅_∅"	"JJ"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"person"	"himself"	"uncertain"	"on"	"this"	"score"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"a"	"of"	"by"	"5"	"by_a"	"a_of"	"of_5"	"group_by_a"	"by_a_of"	"a_of_5"	"of_5_to"	"NNP"	"IN"	"DT"	"NN"	"IN"	"CD"	"TO"	"tonight"	"retain"	"the"	"distinction"	"of"	"be"	"the"	"only"	"winless"	"team"	"among"	"the"	"eighteen"	"major-league_club"	"as"	"they"	"drop"	"their"	"sixth"	"straight"	"spring"	"exhibition"	"decision"	"this"	"one"	"to"	"the"	"kansas_city"	"group"	"by"	"of"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"both"	"center"	"runner"	"center_to"	"to_both"	"both_runner"	"left_center_to"	"center_to_both"	"to_both_runner"	"both_runner_."	"JJ"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"person"	"slam"	"a"	"double"	"to"	"left"	"center"	"to"	"score"	"both"	"runner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"kansas_city"	"in"	"the"	"the"	"the_kansas_city"	"kansas_city_in"	"in_the"	"on_the_kansas_city"	"the_kansas_city_in"	"kansas_city_in_the"	"in_the_sixth"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"detailed"	"on"	"the"	"kansas_city"	"score"	"in"	"the"	"sixth"	"go"	"like"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"group"	"after"	"in"	"three"	"in_group"	"group_after"	"after_three"	"fourth_in_group"	"in_group_after"	"group_after_three"	"after_three_game"	"JJ"	"IN"	"NNP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"texas"	"halfback"	"who"	"does"	"n't"	"even"	"know"	"the"	"play"	"person"	"rank"	"fourth"	"in"	"group"	"score"	"after"	"three"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"16"	"time"	"time"	"time_and"	"and_16"	"16_time"	"41_time_and"	"time_and_16"	"and_16_time"	"16_time_,"	"CD"	"NN"	"CC"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"their"	"first"	"three"	"game"	"the"	"group"	"have"	"the"	"ball"	"time"	"and"	"score"	"time"	"or"	"percent"	"their"	"total"	"passing"	"yardage"	"in"	"three"	"game"	"on"	"completion"	"in"	"attempt"	"be"	"only"	"yard"	"short"	"of"	"their"	"total"	"passing"	"yardage"	"in"	"when"	"they"	"make"	"on"	"completion"	"in"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
