"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:31:00::"	","	"what"	"moment"	"could"	"moment_,"	",_what"	"what_could"	"a_moment_,"	"moment_,_what"	",_what_could"	"what_could_have"	"DT"	"NN"	"ε"	"VB"	"WP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"stand"	"look"	"down"	"her"	"for"	"a"	"moment"	"wonder"	"what"	"could"	"have"	"reduce"	"her"	"to"	"this"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"'re"	"what"	"you"	"to"	"you_'re"	"'re_what"	"what_to"	"if_you_'re"	"you_'re_what"	"'re_what_to"	"what_to_get"	"IN"	"PRP"	"VBP"	"VB"	"WP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"fresh"	"crop"	"of"	"beginners"	"guns"	"show_up"	"in"	"and"	"they"	"be"	"bets"	"for"	"your"	"christmas_gift"	"list"	"if"	"you"	"wonder"	"what"	"to"	"get"	"for"	"a"	"youngster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"where"	"say"	"in"	"say_,"	",_where"	"where_in"	"eugenia_say_,"	"say_,_where"	",_where_in"	"where_in_the"	"NNP"	"VB"	"ε"	"VB"	"WRB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"worry"	"i"	"can"	"get"	"plenty"	"eugenia"	"say"	"wonder"	"where"	"in"	"the"	"world"	"she"	"could"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"not"	"that"	"do"	"i"	"do_not"	"not_that"	"that_i"	"∅_do_not"	"do_not_that"	"not_that_i"	"that_i_say"	"ε"	"VBP"	"RB"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"wonder"	"that"	"i"	"say"	"to"	"thee"	"you"	"must"	"be_born"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"if"	","	"she"	",_he"	"he_if"	"if_she"	"him_,_he"	",_he_if"	"he_if_she"	"if_she_ever"	"PRP"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"think"	"i"	"sleep_in"	"this"	"morning"	"she"	"say"	"drowsily"	"and"	"she"	"snuggle"	"against"	"him"	"he"	"wonder"	"if"	"she"	"ever"	"go_to"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"how"	"∅"	"long"	"∅_he"	"he_how"	"how_long"	"∅_∅_he"	"∅_he_how"	"he_how_long"	"how_long_it"	"ε"	"ε"	"PRP"	"VB"	"WRB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"how"	"long"	"it"	"would"	"be"	"before"	"they"	"have"	"a"	"signed"	"confession"	"from"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"person"	"whether"	"∅"	"person"	"∅_person"	"person_whether"	"whether_person"	"∅_∅_person"	"∅_person_whether"	"person_whether_person"	"whether_person_had"	"ε"	"ε"	"NNP"	"VB"	"IN"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"whether"	"person"	"had"	"lie"	"in"	"that"	"same"	"bed"	"with"	"who"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"she"	"whether"	"∅"	"person"	"∅_she"	"she_whether"	"whether_person"	"∅_∅_she"	"∅_she_whether"	"she_whether_person"	"whether_person_would"	"ε"	"ε"	"PRP"	"VB"	"IN"	"NNP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"whether"	"person"	"would"	"call"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"she"	"what"	"∅"	"had"	"∅_she"	"she_what"	"what_had"	"∅_∅_she"	"∅_she_what"	"she_what_had"	"what_had_take_place"	"ε"	"ε"	"PRP"	"VB"	"WP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wonder"	"what"	"had"	"take_place"	"in"	"town"	"between"	"him"	"and"	"his"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"little"	"that"	"be"	"the"	"be_little"	"little_that"	"that_the"	"it_be_little"	"be_little_that"	"little_that_the"	"that_the_use"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"upon"	"consideration"	"of"	"the"	"variety"	"of"	"soil"	"and"	"fabric"	"encounter"	"in"	"the"	"washing"	"process"	"it"	"be"	"little"	"wonder"	"that"	"the"	"use"	"of"	"a"	"number"	"of"	"detergent"	"constituent"	"have"	"synergistic"	"property"	"has"	"gain"	"widespread"	"acceptance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"i"	"how"	","	"much"	",_i"	"i_how"	"how_much"	"night_,_i"	",_i_how"	"i_how_much"	"how_much_of"	"NN"	"ε"	"PRP"	"VB"	"WRB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"you"	"pile"	"your"	"guy"	"on"	"the"	"tomorrow"	"night"	"i"	"wonder"	"how"	"much"	"of"	"the"	"true"	"story"	"of"	"person"	"you"	"will"	"remember"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"a"	","	"'s"	"really"	"'s_a"	"a_,"	",_really"	"it_'s_a"	"'s_a_,"	"a_,_really"	",_really_,"	"PRP"	"VBZ"	"DT"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"wonder"	"really"	"to"	"how"	"much"	"mendacious"	"trouble"	"person"	"put"	"himself"	"to"	"sell"	"the"	"person"	"that"	"preposterous"	"manse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"what_the_hell"	"himself"	"was"	"himself_,"	",_what_the_hell"	"what_the_hell_was"	"scare_himself_,"	"himself_,_what_the_hell"	",_what_the_hell_was"	"what_the_hell_was_come_off"	"VB"	"PRP"	"ε"	"VB"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"had"	"be"	"scare"	"himself"	"wonder"	"what_the_hell"	"was"	"come_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"why"	"you"	"you"	"you_,"	",_why"	"why_you"	"at_you_,"	"you_,_why"	",_why_you"	"why_you_are"	"IN"	"PRP"	"ε"	"VB"	"WRB"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"pause"	"in"	"the"	"as"	"your"	"friend"	"gaze"	"at"	"you"	"wonder"	"why"	"you"	"are"	"stare"	"openmouthed"	"in"	"amazement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"he"	"``"	"when"	"how"	"when_he"	"he_``"	"``_how"	"somewhat_when_he"	"when_he_``"	"he_``_how"	"``_how_,"	"RB"	"WRB"	"PRP"	"VB"	"ε"	"WRB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"scorn"	"for"	"the"	"jargon"	"of"	"psychical"	"was"	"alter"	"somewhat"	"when"	"he"	"wonder"	"how"	"or"	"why"	"had"	"i"	"been"	"show"	"an"	"unreleased"	"roll"	"of"	"my"	"life"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:12::"	"to"	"at"	"failure"	"their"	"failure_to"	"to_at"	"at_their"	"but_failure_to"	"failure_to_at"	"to_at_their"	"at_their_basic"	"CC"	"NN"	"TO"	"VB"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"skeptic"	"may"	"deny"	"the"	"more"	"startling"	"phenomenon"	"of"	"dream"	"thing"	"they"	"have"	"never"	"personally"	"observe"	"but"	"failure"	"to"	"wonder"	"at"	"their"	"basic"	"mystery"	"be"	"outright"	"avoidance"	"of"	"routine"	"evidence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"atomic"	"of"	"and"	"our"	"and_atomic"	"atomic_of"	"of_our"	"electrical_and_atomic"	"and_atomic_of"	"atomic_of_our"	"of_our_scientific"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"PRP$"	"JJ"	"gadget"	"impressive"	"to"	"the"	"gullible"	"because"	"of"	"their"	"flash"	"light_bulb"	"tick"	"and"	"buzz"	"he"	"then"	"carry_out"	"a"	"vicious"	"medical"	"con_game"	"capitalize"	"on"	"people"	"respect"	"for"	"the"	"electrical"	"and"	"atomic"	"of"	"our"	"scientific"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"if"	"begin"	"something"	"begin_to"	"to_if"	"if_something"	"i_begin_to"	"begin_to_if"	"to_if_something"	"if_something_had"	"PRP"	"VB"	"TO"	"VB"	"IN"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"when"	"i"	"see"	"that"	"it"	"be"	"ten"	"past"	"seven"	"i"	"begin"	"to"	"wonder"	"if"	"something"	"had"	"go_wrong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"person"	"."	","	"∅"	",_person"	"person_."	"._∅"	"behave_,_person"	",_person_."	"person_._∅"	"._∅_∅"	"VB"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"was"	"she"	"behave"	"person"	"wonder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
