"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:41:00::"	"mayor"	"mr._buckley"	"the"	"at"	"the_mayor"	"mayor_mr._buckley"	"mr._buckley_at"	"night_the_mayor"	"the_mayor_mr._buckley"	"mayor_mr._buckley_at"	"mr._buckley_at_the_bronx"	"NN"	"DT"	"NNP"	"VB"	"NNP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"the"	"mayor"	"visit"	"mr._buckley"	"at"	"the_bronx"	"leader"	"home"	"for"	"a"	"discussion"	"of"	"the"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"should"	"the"	"city"	"newark_museum"	"city_should"	"should_the"	"the_newark_museum"	"of_this_city_should"	"city_should_the"	"should_the_newark_museum"	"the_newark_museum_and"	"RB"	"NN"	"MD"	"VB"	"DT"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sir"	"every"	"resident"	"city"	"should"	"visit"	"the"	"newark_museum"	"and"	"see"	"the"	"exhibit"	"our"	"changing"	"skyline"	"in"	"newark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"be"	"places"	"williamsburg"	"places_to"	"to_be"	"be_williamsburg"	"the_places_to"	"places_to_be"	"to_be_williamsburg"	"be_williamsburg_,"	"DT"	"NNS"	"TO"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"restoration"	"of"	"early"	"life"	"the"	"places"	"to"	"visit"	"be"	"williamsburg"	"jamestown"	"and"	"yorktown"	"virginia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"can"	"the"	"you"	"old"	"you_can"	"can_the"	"the_old"	"where_you_can"	"you_can_the"	"can_the_old"	"the_old_frontier"	"WRB"	"PRP"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"spot"	"with"	"an"	"image-provoking"	"be"	"the"	"black_hills"	"where"	"you"	"can"	"visit"	"the"	"old"	"frontier"	"mining"	"town"	"of"	"deadwood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"."	"place"	"∅"	"place_to"	"to_."	"._∅"	"the_place_to"	"place_to_."	"to_._∅"	"._∅_∅"	"DT"	"NN"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"a"	"resort"	"area"	"mackinack_island"	"michigan"	"the"	"place"	"to"	"visit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"is"	"new"	"board"	"construction"	"board_is"	"is_new"	"new_construction"	"the_board_is"	"board_is_new"	"is_new_construction"	"new_construction_sites"	"DT"	"NN"	"VBZ"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"louis_h._grenier"	"clerk"	"of"	"the"	"board"	"say"	"that"	"the"	"appeals"	"will"	"be"	"review"	"december"	"at_the_time"	"the"	"board"	"is"	"visit"	"new"	"construction"	"sites"	"in"	"the"	"town"	"for"	"assessment"	"purposes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"'s"	"to"	"person"	"the"	"person_'s"	"'s_to"	"to_the"	"∅_person_'s"	"person_'s_to"	"'s_to_the"	"to_the_livery_stable"	"ε"	"NNP"	"POS"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"visit"	"to"	"the"	"livery_stable"	"had"	"be"	"merely"	"a"	"precaution"	"in_case"	"anyone"	"should"	"be"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"this"	"to"	"on"	"berlin"	"on_this"	"this_to"	"to_berlin"	"but_on_this"	"on_this_to"	"this_to_berlin"	"to_berlin_he"	"CC"	"IN"	"DT"	"NN"	"TO"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"year"	"and"	"see"	"him"	"in"	"germany"	"france"	"again"	"but"	"on"	"this"	"visit"	"to"	"berlin"	"he"	"did"	"not"	"seek_out"	"the"	"philosopher"	"as"	"he"	"had"	"on"	"his"	"first"	"journey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"ever"	"here"	"he"	"when"	"he_ever"	"ever_here"	"here_when"	"did_he_ever"	"he_ever_here"	"ever_here_when"	"here_when_he"	"VBD"	"PRP"	"RB"	"VB"	"RB"	"WRB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"did"	"ever"	"visit"	"here"	"when"	"he"	"be"	"a"	"kid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"friendly"	"pay"	"the"	"by"	"the_friendly"	"friendly_pay"	"pay_by"	"be_the_friendly"	"the_friendly_pay"	"friendly_pay_by"	"pay_by_person"	"VB"	"DT"	"JJ"	"NN"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"crowning"	"event"	"that"	"has"	"dramatically"	"upset"	"the"	"traditional"	"of"	"english"	"religious"	"history"	"be"	"the"	"friendly"	"visit"	"pay"	"by"	"person"	"then"	"anglican"	"archbishop"	"of"	"location"	"to"	"the"	"vatican"	"last"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"'s"	"to"	"week"	"the"	"week_'s"	"'s_to"	"to_the"	"a_week_'s"	"week_'s_to"	"'s_to_the"	"to_the_country"	"DT"	"NN"	"POS"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"then"	"one"	"day"	"on"	"a"	"week"	"visit"	"to"	"the"	"country"	"home"	"of"	"a"	"retired"	"swiss"	"jeweler"	"rousseau"	"amuse"	"the"	"company"	"with"	"a_few"	"little"	"melody"	"he"	"had"	"write"	"to"	"which"	"he"	"attach"	"no"	"great"	"importance"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"the"	"want"	"mission"	"want_to"	"to_the"	"the_mission"	"person_want_to"	"want_to_the"	"to_the_mission"	"the_mission_."	"NNP"	"VB"	"VB"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"have"	"no"	"why"	"person"	"want"	"to"	"visit"	"the"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"and"	"about"	"the"	"about_the"	"the_and"	"and_the"	"explain_about_the"	"about_the_and"	"the_and_the"	"and_the_effect"	"VB"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"like"	"to"	"enact"	"a"	"little"	"tableau"	"this"	"afternoon"	"person"	"say"	"explain"	"about"	"the"	"visit"	"and"	"the"	"effect"	"he"	"wish"	"to"	"create"	"the"	"picture"	"of"	"a"	"very"	"busy"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"traditional"	"to"	"the"	"both"	"the_traditional"	"traditional_to"	"to_both"	"make_the_traditional"	"the_traditional_to"	"traditional_to_both"	"to_both_chamber"	"VB"	"DT"	"JJ"	"NN"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"is"	"expect"	"make"	"the"	"traditional"	"visit"	"to"	"both"	"chamber"	"as"	"they"	"work"	"toward"	"adjournment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"have"	"england"	"you"	"five"	"you_have"	"have_england"	"england_five"	"``_you_have"	"you_have_england"	"have_england_five"	"england_five_time"	"ε"	"PRP"	"VBP"	"VB"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"visit"	"england"	"five"	"time"	"in"	"the"	"past"	"quarter-century"	"i"	"believe"	"my"	"host"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	","	"him"	"friend"	"in"	"friend_,"	",_him"	"him_in"	"a_friend_,"	"friend_,_him"	",_him_in"	"him_in_location"	"DT"	"NN"	"ε"	"VB"	"PRP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"prove"	"a"	"man"	"of"	"prompt"	"action"	"person"	"accompany"	"by"	"a"	"friend"	"visit"	"him"	"in"	"location"	"california"	"several"	"month"	"ago"	"as"	"a"	"prospective"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"she"	"him"	"when"	"the"	"when_she"	"she_him"	"him_the"	"machine_when_she"	"when_she_him"	"she_him_the"	"him_the_next"	"NN"	"WRB"	"PRP"	"VB"	"PRP"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"renew"	"his"	"pressure"	"on"	"to"	"buy"	"his"	"machine"	"when"	"she"	"visit"	"him"	"the"	"next"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"desire"	"``"	"desire_to"	"to_the"	"the_``"	"'s_desire_to"	"desire_to_the"	"to_the_``"	"the_``_smaller"	"POS"	"NN"	"TO"	"VB"	"DT"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"firm"	"has"	"recognize"	"the"	"dollar"	"and"	"the"	"tourist"	"desire"	"to"	"visit"	"the"	"smaller"	"less"	"traveled"	"and"	"relatively"	"inexpensive"	"country"	"and"	"be"	"now"	"prepared"	"to"	"teach"	"modern_greek"	"and"	"portuguese"	"through"	"recording"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"."	"me"	"∅"	"me_a"	"a_."	"._∅"	"paid_me_a"	"me_a_."	"a_._∅"	"._∅_∅"	"VB"	"PRP"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"just"	"me"	"a"	"visit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"to"	"a"	"way"	"sick"	"way_to"	"to_a"	"a_sick"	"his_way_to"	"way_to_a"	"to_a_sick"	"a_sick_refugee"	"PRP$"	"NN"	"TO"	"NN"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"morning"	"as"	"person"	"enter"	"location"	"on"	"his"	"way"	"to"	"visit"	"a"	"sick"	"refugee"	"he"	"have"	"a"	"premonition"	"of"	"danger"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"their"	"will"	"but"	"be"	"but_their"	"their_will"	"will_be"	"-_but_their"	"but_their_will"	"their_will_be"	"will_be_a"	"ε"	"CC"	"PRP$"	"NN"	"MD"	"VB"	"DT"	"group"	"be"	"back"	"home"	"monday"	"with"	"their"	"third"	"victory"	"in"	"four"	"group"	"start"	"a"	"triumph"	"over"	"the"	"group"	"but"	"their"	"visit"	"be"	"a"	"short"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
