"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:39:00::"	"those"	"the"	"∅"	"growing"	"∅_those"	"those_the"	"the_growing"	"∅_∅_those"	"∅_those_the"	"those_the_growing"	"the_growing_rivalry"	"ε"	"ε"	"DT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"watch"	"the"	"growing"	"rivalry"	"between"	"craft_unions"	"and"	"industrial_unions"	"may"	"recognize"	"all"	"the"	"pressures"	"that"	"lead"	"to"	"the"	"big"	"labor"	"split"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:05::"	"and"	"the"	"listen"	"rapt"	"listen_and"	"and_the"	"the_rapt"	"tent_listen_and"	"listen_and_the"	"and_the_rapt"	"the_rapt_attention"	"NN"	"VB"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"the"	"music-loving"	"members"	"of"	"the"	"president"	"gather"	"around"	"the"	"tent"	"listen"	"and"	"watch"	"the"	"rapt"	"attention"	"give"	"by"	"the"	"young"	"seated"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"me"	"the"	"see"	"young"	"see_me"	"me_the"	"the_young"	"had_see_me"	"see_me_the"	"me_the_young"	"the_young_man"	"VBD"	"VB"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rachel"	"see"	"me"	"watch"	"the"	"young"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"has"	"the"	"he"	"insect"	"he_has"	"has_the"	"the_insect"	"but_he_has"	"he_has_the"	"has_the_insect"	"the_insect_damage"	"CC"	"PRP"	"VBZ"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._clark"	"still"	"have"	"to"	"use"	"rotenone"	"with"	"potatoes"	"on"	"the_least"	"fertile"	"fields"	"but"	"he"	"has"	"watch"	"the"	"insect"	"damage"	"decrease"	"steadily"	"and"	"hope"	"that"	"continued"	"use"	"of"	"compost"	"and"	"leaf"	"mulch"	"will"	"allow"	"him"	"to"	"do"	"without"	"it"	"in_the_future"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:05::"	"to"	"for"	"have"	"most_of"	"have_to"	"to_for"	"for_most_of"	"have_have_to"	"have_to_for"	"to_for_most_of"	"for_most_of_the"	"VBP"	"VB"	"VB"	"VB"	"IN"	"JJ"	"DT"	"its"	"final"	"scene"	"where"	"beatie_bryant"	"mary_doyle"	"shake_off"	"the"	"disappointment"	"of"	"being"	"jilt"	"by"	"her"	"intellectual"	"lover"	"and"	"proclaim"	"her"	"emancipation"	"do"	"we"	"get"	"much"	"which"	"make"	"worthwhile"	"the"	"series"	"of"	"boorish"	"rustic"	"happenings"	"we"	"have"	"to"	"for"	"most_of"	"the"	"first"	"two"	"and"	"one-half"	"acts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"it"	"flame"	"curl"	"flame_,"	",_it"	"it_curl"	"to_flame_,"	"flame_,_it"	",_it_curl"	"it_curl_,"	"TO"	"NN"	"ε"	"VB"	"PRP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"for"	"an"	"old"	"clay"	"pot"	"relic"	"pioneer"	"days"	"he"	"tear"	"the"	"envelope"	"in"	"pieces"	"drop"	"them"	"into"	"touch"	"the"	"little"	"pyre"	"to"	"flame"	"watch"	"it"	"curl"	"the"	"red"	"sealing_wax"	"melt"	"and"	"bubble"	"in"	"the"	"feathery"	"ash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"this"	"him"	"pearl"	"him_to"	"to_this"	"this_pearl"	"with_him_to"	"him_to_this"	"to_this_pearl"	"this_pearl_without"	"RB"	"PRP"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"first"	"few"	"months"	"of"	"their"	"marriage"	"she"	"had"	"to"	"be"	"nice"	"about"	"gunny"	"go"	"out"	"with"	"him"	"to"	"watch"	"this"	"pearl"	"without"	"price"	"stamp"	"imperiously"	"around"	"in"	"her"	"stall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"the"	"back_up"	"children"	"back_up_,"	",_the"	"the_children"	"to_back_up_,"	"back_up_,_the"	",_the_children"	"the_children_safely"	"TO"	"VB"	"ε"	"VB"	"DT"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kimmell"	"order"	"the"	"to"	"back_up"	"watch"	"the"	"children"	"safely"	"across"	"and"	"was"	"approach"	"the"	"car"	"when"	"it"	"suddenly"	"take_off"	"at"	"high"	"speed"	"he"	"say"	"narrowly"	"miss"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	","	"great"	"arm"	"age"	"arm_,"	",_great"	"great_age"	"in_arm_,"	"arm_,_great"	",_great_age"	"great_age_grow"	"IN"	"NN"	"ε"	"VB"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"woman"	"she"	"must"	"have"	"be"	"a"	"tiny"	"baby"	"hetty"	"and"	"delia"	"had"	"stand"	"arm"	"in"	"arm"	"watch"	"great"	"age"	"grow"	"small"	"answer"	"the"	"nod"	"with"	"her"	"own"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"for"	"ring"	"six"	"ring_,"	",_for"	"for_six"	"the_ring_,"	"ring_,_for"	",_for_six"	"for_six_months"	"DT"	"NN"	"ε"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"how"	"many"	"sub"	"secrets"	"being"	"hand_over"	"when"	"the"	"ring"	"watch"	"for"	"six"	"months"	"was"	"break"	"remain"	"untold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"for"	"things"	"."	"things_to"	"to_for"	"for_."	"be_things_to"	"things_to_for"	"to_for_."	"for_._∅"	"VB"	"NNS"	"TO"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"plan"	"to"	"add"	"cooling"	"later"	"your"	"heating_system"	"there"	"be"	"things"	"to"	"watch"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:05::"	"to"	"how"	"only"	"these"	"only_to"	"to_how"	"how_these"	"had_only_to"	"only_to_how"	"to_how_these"	"how_these_exceptionally"	"VBD"	"RB"	"TO"	"VB"	"WRB"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anyone"	"who"	"now"	"doubt"	"that"	"a"	"duel"	"be"	"under_way"	"had"	"only"	"to"	"watch"	"how"	"these"	"exceptionally"	"gifted"	"golfers"	"were"	"play"	"this"	"most"	"difficult"	"golf_course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"been"	"with"	"has"	"interest"	"has_been"	"been_with"	"with_interest"	"which_has_been"	"has_been_with"	"been_with_interest"	"with_interest_since"	"WDT"	"VBZ"	"VBN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reading"	"has"	"been"	"watch"	"with"	"interest"	"since"	"russia"	"detonation"	"of"	"a"	"super"	"bomb"	"monday"	"be"	"on"	"tuesday"	"and"	"last"	"saturday"	"a_level"	"far"	"below"	"the"	"danger"	"point"	"according"	"to"	"the"	"board"	"of"	"health"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"proceedings"	"sit"	"."	"sit_and"	"and_proceedings"	"proceedings_."	"i_sit_and"	"sit_and_proceedings"	"and_proceedings_."	"proceedings_._∅"	"PRP"	"VB"	"CC"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"and"	"watch"	"proceedings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"my"	"."	"at"	"∅"	"at_my"	"my_."	"._∅"	"look_at_my"	"at_my_."	"my_._∅"	"._∅_∅"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"at"	"my"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"."	"bench"	"∅"	"bench_,"	",_."	"._∅"	"the_bench_,"	"bench_,_."	",_._∅"	"._∅_∅"	"DT"	"NN"	"ε"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"sit"	"the"	"bench"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"you"	"work"	"are"	"schedule"	"are_you"	"you_work"	"work_schedule"	"∅_are_you"	"are_you_work"	"you_work_schedule"	"work_schedule_for"	"ε"	"VBP"	"PRP"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"watch"	"work"	"schedule"	"for"	"boiler"	"operator"	"guard"	"and"	"hour"	"day"	"day"	"week"	"operation"	"in_order"	"to"	"minimize"	"overtime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"the"	"back"	"cloud"	"back_and"	"and_the"	"the_cloud"	"his_back_and"	"back_and_the"	"and_the_cloud"	"the_cloud_go_by"	"PRP$"	"NN"	"CC"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"then_again"	"perhaps"	"the"	"reason"	"why"	"he"	"could"	"n't"	"find"	"time"	"to"	"do"	"any"	"of"	"the"	"thing"	"he"	"had"	"plan"	"to"	"do"	"after"	"retirement"	"read"	"roam"	"garden"	"lie"	"on"	"back"	"and"	"watch"	"the"	"cloud"	"go_by"	"be"	"because"	"he"	"did"	"n't"	"want"	"to"	"do"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
