"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:03:00::"	"of"	"person"	"stravinsky"	"person"	"NN"	"NNP"	"NN"	"koussevitzky"	"NNP"
"1:03:00::"	"person"	"stravinsky"	"person"	"picasso"	"NNP"	"NN"	"DT"	"cocteau"	"NNP"
"1:03:00::"	"X"	"so"	"young"	"be"	"JJ"	"VB"	"DT"	"prokofieff"	"NNP"
"1:03:00::"	"this"	"changed"	"world"	"settle"	"NN"	"VB"	"TO"	"prokofieff"	"NNP"
"1:03:00::"	"that"	"the"	"mature"	"emerge"	"JJ"	"VB"	"X"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"but"	"no"	"grow"	"DT"	"VB"	"X"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"might"	"X"	"MD"	"RB"	"prokofieff"	"NNP"
"1:03:00::"	"the"	"name"	"of"	"will"	"IN"	"MD"	"VB"	"serge_prokofieff"	"NNP"
"1:03:00::"	"X"	"X"	"so"	"be"	"RB"	"VB"	"JJ"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"how"	"differently"	"'s"	"RB"	"POS"	"NN"	"prokofieff"	"NNP"
"1:03:00::"	"this"	"historical"	"feat"	"have"	"NN"	"VB"	"DT"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"thus"	"in"	"the"	"IN"	"DT"	"NN"	"prokofieff"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"be"	"X"	"VB"	"RB"	"roy_mason"	"NNP"
"1:03:00::"	"pattern"	"art"	"of"	"X"	"IN"	"X"	"X"	"john_sell_cotman"	"NNP"
"1:03:00::"	"as"	"a"	"boy"	"begin"	"NN"	"VB"	"DT"	"roy_mason"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"had_to"	"X"	"VB"	"VB"	"mason"	"NNP"
"1:03:00::"	"all"	"this"	"time"	"continue"	"NN"	"VB"	"TO"	"roy"	"NNP"
"1:03:00::"	"with"	"the"	"painter"	"who"	"NN"	"WP"	"VB"	"chauncey_ryder"	"NNP"
"1:03:00::"	"painting"	"trip"	"together"	"develop"	"RB"	"VB"	"PRP$"	"roy"	"NNP"
"1:03:00::"	"to"	"paint"	"with"	"on"	"IN"	"IN"	"JJ"	"roy_mason"	"NNP"
"1:03:00::"	"the"	"watercolor"	"of"	"the"	"IN"	"DT"	"JJ"	"roy_mason"	"NNP"
"1:03:00::"	"observation"	"has"	"teach"	"that"	"VB"	"IN"	"JJ"	"mason"	"NNP"
"1:03:00::"	"X"	"when"	"paint"	"'s"	"VB"	"POS"	"JJ"	"mason"	"NNP"
"1:03:00::"	"begin"	"in"	"1929"	"has"	"CD"	"VBZ"	"VB"	"mason"	"NNP"
